$ python realistic_failures.py -h http://13.80.15.244:9090 --start=2021-04-27T14:00:00Z --end=2021-04-28T14:00:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+-------------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|    Syscall Name   |  Error Code  | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
+-------------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|      accept4      |    EAGAIN    |        1         |          2           | 1.000000, 1.000000, 1.000000 |          0.0           | localtime: 2021-04-27 21:02:00, failure rate: 1.000000 |
|      accept4      |   SUCCESS    |        -         |          0           |              -               |           -            |                           -                            |
|       access      |    ENOENT    |        1         |          3           | 1.000000, 1.000000, 1.000000 |          0.0           | localtime: 2021-04-28 08:02:45, failure rate: 1.000000 |
|       access      |   SUCCESS    |        -         |          0           |              -               |           -            |                           -                            |
|      adjtimex     |   SUCCESS    |        -         |         212          |              -               |           -            |                           -                            |
|      connect      | EINPROGRESS  |        1         |          4           | 0.571429, 0.571429, 0.571429 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.571429 |
|      connect      | EINPROGRESS  |       326        |          4           | 0.285714, 0.498898, 0.600000 |  0.00919136028096284   | localtime: 2021-04-27 16:00:00, failure rate: 0.545455 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 19:30:45, failure rate: 0.333333 |
|      connect      | EINPROGRESS  |       2176       |          4           | 0.333333, 0.524900, 0.600000 |  0.006154467972371556  | localtime: 2021-04-27 21:02:00, failure rate: 0.357143 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 15:03:45, failure rate: 0.600000 |
|      connect      |    ENOENT    |        1         |          2           | 0.090909, 0.090909, 0.090909 |          0.0           | localtime: 2021-04-28 08:02:45, failure rate: 0.090909 |
|      connect      |   SUCCESS    |        -         |          3           |              -               |           -            |                           -                            |
|     epoll_ctl     |    EPERM     |        1         |          16          | 0.326531, 0.326531, 0.326531 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.326531 |
|     epoll_ctl     |    EPERM     |       686        |          16          | 0.125000, 0.724030, 1.000000 |   0.1234829041300509   | localtime: 2021-04-27 16:00:00, failure rate: 0.083333 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:30:45, failure rate: 1.000000 |
|     epoll_ctl     |    EPERM     |       3880       |          16          | 0.166667, 0.774917, 1.000000 |  0.08049530646879767   | localtime: 2021-04-27 21:02:00, failure rate: 0.952381 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 15:59:45, failure rate: 0.142857 |
|     epoll_ctl     |   SUCCESS    |        -         |          33          |              -               |           -            |                           -                            |
