$ python realistic_failures.py -h http://13.80.15.244:9090 --start=2021-05-02T09:30:00Z --end=2021-05-03T09:30:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
| Syscall Name |  Error Code  | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|   accept4    |    EAGAIN    |       5749       |        199872        | 0.500000, 0.499918, 0.500000 | 1.666296551539977e-05  | localtime: 2021-05-02 11:32:45, failure rate: 0.500000 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.500000 |
|   accept4    |   SUCCESS    |        -         |        199902        |              -               |           -            |                           -                            |
|    access    |    ENOENT    |        1         |          2           | 0.400000, 0.400000, 0.400000 |          0.0           | localtime: 2021-05-02 11:32:45, failure rate: 0.400000 |
|    access    |   SUCCESS    |        -         |          7           |              -               |           -            |                           -                            |
|   connect    | EINPROGRESS  |        45        |        13853         | 1.000000, 1.000000, 1.000000 |          0.0           | localtime: 2021-05-02 11:32:45, failure rate: 1.000000 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-02 12:08:45, failure rate: 1.000000 |
|   connect    |   SUCCESS    |        -         |          0           |              -               |           -            |                           -                            |
|    futex     |    EAGAIN    |       5750       |       4049324        | 0.004407, 0.005754, 0.007197 | 7.563593452953282e-06  | localtime: 2021-05-02 11:32:45, failure rate: 0.003041 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.005887 |
|    futex     |  ETIMEDOUT   |       5750       |       1494168        | 0.001371, 0.002330, 0.003862 | 8.875773657544889e-07  | localtime: 2021-05-02 11:32:45, failure rate: 0.010002 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.001616 |
|    futex     |   SUCCESS    |        -         |      704567888       |              -               |           -            |                           -                            |
|    ioctl     |    ENOTTY    |       3831       |        124070        | 0.006680, 0.090070, 0.295082 |  0.011564008970685966  | localtime: 2021-05-02 11:32:45, failure rate: 0.402985 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.007547 |
|    ioctl     |   SUCCESS    |        -         |       12103966       |              -               |           -            |                           -                            |
|    mkdir     |    EEXIST    |       287        |         333          | 1.000000, 0.999164, 1.000000 | 0.0001999975719020536  | localtime: 2021-05-02 11:32:45, failure rate: 0.760000 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:27:30, failure rate: 1.000000 |
|    mkdir     |    ENOENT    |        1         |          1           | 0.040000, 0.040000, 0.040000 |          0.0           | localtime: 2021-05-02 11:32:45, failure rate: 0.040000 |
|    mkdir     |   SUCCESS    |        -         |          6           |              -               |           -            |                           -                            |
|    openat    |    ENOENT    |        2         |          3           | 0.000427, 0.003252, 0.006076 | 9.847483306671304e-06  | localtime: 2021-05-02 11:32:45, failure rate: 0.006390 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 03:26:45, failure rate: 0.000114 |
|    openat    |   SUCCESS    |        -         |       23992664       |              -               |           -            |                           -                            |
|     read     |    EAGAIN    |       5750       |      153665593       | 0.447837, 0.484809, 0.499725 | 0.00042658410263830365 | localtime: 2021-05-02 11:32:45, failure rate: 0.427044 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.462205 |
|     read     |   SUCCESS    |        -         |      165804270       |              -               |           -            |                           -                            |
|   recvfrom   |    EAGAIN    |       5750       |       97437879       | 0.271358, 0.291573, 0.305993 | 0.00015063238851740427 | localtime: 2021-05-02 11:32:45, failure rate: 0.254241 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:30:00, failure rate: 0.301742 |
|   recvfrom   |  ECONNRESET  |        9         |          10          | 0.000026, 0.000061, 0.000140 | 2.3879802386241857e-09 | localtime: 2021-05-02 11:33:15, failure rate: 0.000196 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 01:01:00, failure rate: 0.000018 |
|   recvfrom   |   SUCCESS    |        -         |      235238861       |              -               |           -            |                           -                            |
|    rename    |    ENOENT    |        1         |          2           | 0.142857, 0.142857, 0.142857 |          0.0           | localtime: 2021-05-02 11:32:45, failure rate: 0.142857 |
|    rename    |   SUCCESS    |        -         |          19          |              -               |           -            |                           -                            |
|    sendto    | EAFNOSUPPORT |        5         |          16          | 0.002012, 0.010739, 0.036203 | 0.00028739846135575244 | localtime: 2021-05-02 11:36:45, failure rate: 0.002429 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 07:33:30, failure rate: 0.044643 |
|    sendto    |    EAGAIN    |        20        |          29          | 0.000722, 0.001190, 0.002464 | 3.3210594160277466e-07 | localtime: 2021-05-02 11:32:45, failure rate: 0.000726 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-02 11:39:00, failure rate: 0.002560 |
|    sendto    |    EPIPE     |        19        |         125          | 0.000770, 0.019617, 0.045839 | 0.0003918762444449199  | localtime: 2021-05-02 11:33:45, failure rate: 0.000907 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 11:18:45, failure rate: 0.003115 |
|    sendto    |   SUCCESS    |        -         |       1673657        |              -               |           -            |                           -                            |
|    statx     |    ENOENT    |        2         |          6           | 0.143182, 0.204545, 0.265909 |  0.004648760330578512  | localtime: 2021-05-02 11:32:45, failure rate: 0.272727 |
|              |              |                  |                      |                              |                        | localtime: 2021-05-03 03:02:30, failure rate: 0.136364 |
|    statx     |   SUCCESS    |        -         |         346          |              -               |           -            |                           -                            |
|    unlink    |    ENOENT    |        1         |          1           | 0.017544, 0.017544, 0.017544 |          0.0           | localtime: 2021-05-02 11:32:45, failure rate: 0.017544 |
|    unlink    |   SUCCESS    |        -         |        74916         |              -               |           -            |                           -                            |
+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
