$ python realistic_failures.py -h http://13.95.229.116:9090 --start=2021-07-26T13:00:00Z --end=2021-07-27T13:00:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+-------------------+-------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|    Syscall Name   |  Error Code | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
+-------------------+-------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|      accept4      |    EAGAIN   |       5760       |        353164        | 0.496350, 0.499720, 0.500000 | 1.276444108550864e-06  | localtime: 2021-07-26 15:00:00, failure rate: 0.500000 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.500000 |
|      accept4      |   SUCCESS   |        -         |        353563        |              -               |           -            |                           -                            |
|      adjtimex     |   SUCCESS   |        -         |          11          |              -               |           -            |                           -                            |
|      connect      | EINPROGRESS |        45        |         205          | 0.166667, 0.327357, 0.493333 |  0.009974251218674363  | localtime: 2021-07-26 15:00:15, failure rate: 0.400000 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 03:21:30, failure rate: 0.272727 |
|      connect      |   SUCCESS   |        -         |         1147         |              -               |           -            |                           -                            |
|     epoll_ctl     |    EPERM    |       5760       |        159361        | 0.058824, 0.087036, 0.100719 |   0.0103157863103124   | localtime: 2021-07-26 15:00:00, failure rate: 0.075758 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.072993 |
|     epoll_ctl     |   SUCCESS   |        -         |        767370        |              -               |           -            |                           -                            |
|    epoll_pwait    |    EINTR    |       172        |         176          | 0.000024, 0.000039, 0.000063 | 1.5740556225366467e-10 | localtime: 2021-07-26 15:03:30, failure rate: 0.000045 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 14:25:15, failure rate: 0.000029 |
|    epoll_pwait    |   SUCCESS   |        -         |      169384975       |              -               |           -            |                           -                            |
|       futex       |    EAGAIN   |       5760       |        266675        | 0.003402, 0.005279, 0.007612 | 2.040576340271353e-06  | localtime: 2021-07-26 15:00:00, failure rate: 0.003570 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.006647 |
|       futex       |  ETIMEDOUT  |       5760       |        268827        | 0.002352, 0.005273, 0.014807 | 4.9969338248486575e-05 | localtime: 2021-07-26 15:00:00, failure rate: 0.004543 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.003142 |
|       futex       |   SUCCESS   |        -         |       50391401       |              -               |           -            |                           -                            |
|   get_mempolicy   |   SUCCESS   |        -         |          7           |              -               |           -            |                           -                            |
|       getcwd      |   SUCCESS   |        -         |          4           |              -               |           -            |                           -                            |
|      getpgrp      |   SUCCESS   |        -         |          5           |              -               |           -            |                           -                            |
|      getxattr     |   SUCCESS   |        -         |          5           |              -               |           -            |                           -                            |
|    init_module    |   SUCCESS   |        -         |          5           |              -               |           -            |                           -                            |
|  inotify_rm_watch |   SUCCESS   |        -         |          15          |              -               |           -            |                           -                            |
|     io_destroy    |   SUCCESS   |        -         |          5           |              -               |           -            |                           -                            |
|    memfd_create   |   SUCCESS   |        -         |          8           |              -               |           -            |                           -                            |
| name_to_handle_at |   SUCCESS   |        -         |          7           |              -               |           -            |                           -                            |
|     nanosleep     |   SUCCESS   |        -         |      297467812       |              -               |           -            |                           -                            |
|     newfstatat    |    ENOENT   |        24        |          24          | 0.250000, 0.258333, 0.250000 |  0.002638888888888887  | localtime: 2021-07-26 15:24:15, failure rate: 0.250000 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 14:24:15, failure rate: 0.250000 |
|     newfstatat    |   SUCCESS   |        -         |         367          |              -               |           -            |                           -                            |
|       ppoll       |   SUCCESS   |        -         |          21          |              -               |           -            |                           -                            |
|        read       |    EAGAIN   |       5760       |       37799061       | 0.475887, 0.483140, 0.487157 |  2.15031682204389e-05  | localtime: 2021-07-26 15:00:00, failure rate: 0.476346 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.485582 |
|        read       |  ECONNRESET |        16        |          17          | 0.000056, 0.000083, 0.000128 | 5.589758773718883e-10  | localtime: 2021-07-26 15:07:15, failure rate: 0.000127 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 12:02:30, failure rate: 0.000080 |
|        read       |   SUCCESS   |        -         |       40430911       |              -               |           -            |                           -                            |
|      recvfrom     |    EAGAIN   |       5760       |        499535        | 0.485876, 0.495123, 0.500000 | 0.0002446803087155127  | localtime: 2021-07-26 15:00:00, failure rate: 0.500000 |
|                   |             |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.500000 |
|      recvfrom     |   SUCCESS   |        -         |        534964        |              -               |           -            |                           -                            |
|      recvmsg      |   SUCCESS   |        -         |          9           |              -               |           -            |                           -                            |
|   rt_sigpending   |   SUCCESS   |        -         |          7           |              -               |           -            |                           -                            |
|    rt_sigreturn   |   SUCCESS   |        -         |          50          |              -               |           -            |                           -                            |
|   sched_getparam  |   SUCCESS   |        -         |          8           |              -               |           -            |                           -                            |
