$ python realistic_failures.py -h http://13.95.228.245:9090 --start=2021-07-26T13:00:00Z --end=2021-07-27T13:00:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
| Syscall Name |  Error Code  | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|   accept4    |    EAGAIN    |       5753       |        137380        | 0.500000, 0.498979, 0.500000 | 0.0006627681084856789  | localtime: 2021-07-26 15:00:00, failure rate: 0.500000 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.500000 |
|   accept4    |   SUCCESS    |        -         |        137484        |              -               |           -            |                           -                            |
|   connect    | EINPROGRESS  |       468        |        57162         | 1.000000, 0.962304, 1.000000 |  0.028668201189012442  | localtime: 2021-07-26 15:00:00, failure rate: 1.000000 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:55:15, failure rate: 0.200000 |
|   connect    |   SUCCESS    |        -         |          92          |              -               |           -            |                           -                            |
|  epoll_ctl   |    ENOENT    |        4         |          4           | 0.001137, 0.001403, 0.001632 |  5.24921208629336e-08  | localtime: 2021-07-26 15:37:30, failure rate: 0.001634 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 12:58:00, failure rate: 0.001120 |
|  epoll_ctl   |   SUCCESS    |        -         |       4348926        |              -               |           -            |                           -                            |
|    futex     |    EAGAIN    |       5761       |       2055209        | 0.003780, 0.027450, 0.080915 | 0.0008183462137895491  | localtime: 2021-07-26 15:00:00, failure rate: 0.021545 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.014286 |
|    futex     |  ETIMEDOUT   |       5761       |       1500266        | 0.011455, 0.036181, 0.059114 | 0.00024380171530121098 | localtime: 2021-07-26 15:00:00, failure rate: 0.014344 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.040648 |
|    futex     |   SUCCESS    |        -         |       51785110       |              -               |           -            |                           -                            |
| getpeername  |   ENOTCONN   |        4         |          4           | 0.012024, 0.023121, 0.038542 | 0.0001293210509316841  | localtime: 2021-07-26 23:04:45, failure rate: 0.010753 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:23:15, failure rate: 0.041667 |
| getpeername  |   SUCCESS    |        -         |        200141        |              -               |           -            |                           -                            |
|    ioctl     |    ENOTTY    |       4356       |        123513        | 0.000214, 0.018692, 0.072976 | 0.0005381131363115028  | localtime: 2021-07-26 15:00:00, failure rate: 0.003409 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:59:45, failure rate: 0.004950 |
|    ioctl     |   SUCCESS    |        -         |       15630450       |              -               |           -            |                           -                            |
|    mkdir     |    EEXIST    |       288        |         288          | 1.000000, 1.000000, 1.000000 |          0.0           | localtime: 2021-07-26 15:04:45, failure rate: 1.000000 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:59:45, failure rate: 1.000000 |
|    mkdir     |   SUCCESS    |        -         |          0           |              -               |           -            |                           -                            |
|    openat    |    ENOENT    |        23        |          23          | 0.000072, 0.000253, 0.000637 | 1.0808194296505131e-07 | localtime: 2021-07-26 15:23:00, failure rate: 0.000070 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:25:45, failure rate: 0.000557 |
|    openat    |   SUCCESS    |        -         |       31255249       |              -               |           -            |                           -                            |
|     read     |    EAGAIN    |       5761       |       13837486       | 0.159237, 0.290788, 0.436896 |  0.007557111597410949  | localtime: 2021-07-26 15:00:00, failure rate: 0.405114 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.284938 |
|     read     |   SUCCESS    |        -         |       30875370       |              -               |           -            |                           -                            |
|    readv     |    EAGAIN    |       5748       |        17113         | 0.500000, 0.494646, 0.500000 | 0.0014396833266251388  | localtime: 2021-07-26 15:00:00, failure rate: 0.500000 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.500000 |
|    readv     |   SUCCESS    |        -         |        17597         |              -               |           -            |                           -                            |
|   recvfrom   |    EAGAIN    |       5752       |       3626813        | 0.075740, 0.187402, 0.379560 | 0.0073985425501702125  | localtime: 2021-07-26 15:00:00, failure rate: 0.179440 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 15:00:00, failure rate: 0.173494 |
|   recvfrom   | ECONNREFUSED |        22        |          65          | 0.000084, 0.000642, 0.002445 | 5.250865465161235e-07  | localtime: 2021-07-26 15:18:00, failure rate: 0.000357 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 06:09:45, failure rate: 0.000152 |
|   recvfrom   |  ECONNRESET  |        41        |          50          | 0.000074, 0.000318, 0.000848 | 5.2680348863378166e-08 | localtime: 2021-07-26 15:14:45, failure rate: 0.000289 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:44:45, failure rate: 0.000265 |
|   recvfrom   |   SUCCESS    |        -         |       17943562       |              -               |           -            |                           -                            |
|    sendto    | EAFNOSUPPORT |        2         |          3           | 0.003773, 0.003900, 0.004026 | 1.974102896264763e-08  | localtime: 2021-07-26 21:02:45, failure rate: 0.004040 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-26 23:37:45, failure rate: 0.003759 |
|    sendto    |    EAGAIN    |       215        |         1655         | 0.001243, 0.015062, 0.057780 |  0.001019304023490641  | localtime: 2021-07-26 15:00:15, failure rate: 0.007634 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:53:30, failure rate: 0.001021 |
|    sendto    | ECONNREFUSED |        15        |          30          | 0.001092, 0.003155, 0.007614 | 8.289836148249726e-06  | localtime: 2021-07-26 15:46:45, failure rate: 0.002865 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:15:30, failure rate: 0.001927 |
|    sendto    |  ECONNRESET  |        23        |          27          | 0.001364, 0.002834, 0.005410 | 2.920760338566076e-06  | localtime: 2021-07-26 15:01:30, failure rate: 0.003676 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 13:34:45, failure rate: 0.003322 |
|    sendto    |    EPIPE     |       476        |         4096         | 0.001349, 0.019587, 0.055782 |  0.003005251300453774  | localtime: 2021-07-26 15:00:30, failure rate: 0.000680 |
|              |              |                  |                      |                              |                        | localtime: 2021-07-27 14:57:45, failure rate: 0.001873 |
|    sendto    |   SUCCESS    |        -         |       2070544        |              -               |           -            |                           -                            |
+--------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
