2021-09-21 20:11:39 UTC  Ancient:#5443505 AB:#5446799   11/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:12:13 UTC  Ancient:#5443506 AB:#5446799   12/25 peers      5 MiB chain  629 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:12:32 UTC Syncing #13271211 0x3f0a…8acb     0.07 blk/s   24.6 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#5443507 LI:#13271216   11/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:12:33 UTC Syncing #13271211 0x3f0a…8acb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5443507 LI:#13271216   10/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:12:38 UTC Syncing #13271211 0x3f0a…8acb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5443507 LI:#13271216   10/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:12:46 UTC Syncing #13271211 0x3f0a…8acb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5443507 LI:#13271216   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:13:23 UTC  Ancient:#5443510 AB:#5446799   10/25 peers      5 MiB chain 1016 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:13:48 UTC  Ancient:#5443512 AB:#5446799   10/25 peers      5 MiB chain  683 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:14:42 UTC Syncing #13271221 0x25fd…af34     0.09 blk/s   20.0 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#5446799 LI:#13271228    9/25 peers     83 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:14:42 UTC Syncing #13271221 0x25fd…af34     0.09 blk/s   20.6 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#5446799 LI:#13271228    9/25 peers     83 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:14:55 UTC Syncing #13271222 0xe35a…a61a     0.09 blk/s    3.5 tx/s    0.4 Mgas/s      0+    7 Qed Ancient:#5446799 LI:#13271230    9/25 peers     92 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:14:55 UTC Syncing #13271222 0xe35a…a61a     0.18 blk/s    6.6 tx/s    0.7 Mgas/s      0+    7 Qed Ancient:#5446799 LI:#13271230    9/25 peers     92 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:00 UTC Syncing #13271222 0xe35a…a61a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446799 LI:#13271231    6/25 peers     92 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:06 UTC Syncing #13271223 0xa459…5201     0.20 blk/s   58.2 tx/s    4.8 Mgas/s      0+    7 Qed Ancient:#5446800 LI:#13271231    6/25 peers    310 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:12 UTC Syncing #13271224 0x3955…0f43     0.20 blk/s   21.2 tx/s    1.4 Mgas/s      0+    7 Qed Ancient:#5446801 LI:#13271232    6/25 peers    311 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:13 UTC Syncing #13271224 0x3955…0f43     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5446801 LI:#13271232    6/25 peers    311 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:23 UTC Syncing #13271225 0x331f…9d62     0.20 blk/s   31.6 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#5446802 LI:#13271232    5/25 peers    381 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:23 UTC Syncing #13271225 0x331f…9d62     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5446802 LI:#13271232    5/25 peers    381 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:38 UTC Syncing #13271226 0x7e10…096f     0.10 blk/s    6.7 tx/s    0.5 Mgas/s      0+    5 Qed Ancient:#5446803 LI:#13271232    5/25 peers    381 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:38 UTC Syncing #13271226 0x7e10…096f     0.20 blk/s   13.4 tx/s    1.0 Mgas/s      0+    5 Qed Ancient:#5446803 LI:#13271232    5/25 peers    381 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:38 UTC Syncing #13271226 0x7e10…096f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5446803 LI:#13271234    5/25 peers    381 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:43 UTC Syncing #13271226 0x7e10…096f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5446803 LI:#13271234    5/25 peers    381 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:15:48 UTC Syncing #13271226 0x7e10…096f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446803 LI:#13271235    5/25 peers    381 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
