2021-09-21 20:18:24 UTC Syncing #13271237 0xf31d…084c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5447601 LI:#13271246    9/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:28 UTC Syncing #13271239 0xe388…6842     0.40 blk/s   72.0 tx/s    4.8 Mgas/s      0+    7 Qed Ancient:#5447603 LI:#13271247    9/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:38 UTC Syncing #13271240 0x5ab9…3a74     0.20 blk/s   42.4 tx/s    2.7 Mgas/s      0+    7 Qed Ancient:#5447604 LI:#13271248    9/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:38 UTC Syncing #13271240 0x5ab9…3a74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5447604 LI:#13271249    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:43 UTC Syncing #13271243 0x651b…479a     0.60 blk/s  112.2 tx/s    6.6 Mgas/s      0+    5 Qed Ancient:#5447607 LI:#13271249    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:53 UTC Syncing #13271244 0xdde8…bd16     0.20 blk/s   29.0 tx/s    2.8 Mgas/s      0+    6 Qed Ancient:#5447608 LI:#13271251    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:57 UTC Syncing #13271245 0x7c6b…5fd4     0.20 blk/s   48.4 tx/s    4.0 Mgas/s      0+    5 Qed Ancient:#5447609 LI:#13271251    8/25 peers      5 MiB chain  853 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:58 UTC Syncing #13271245 0x7c6b…5fd4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5447609 LI:#13271252    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:19:05 UTC Syncing #13271246 0x18b6…ff5e     0.20 blk/s   65.6 tx/s    4.9 Mgas/s      0+    5 Qed Ancient:#5447610 LI:#13271252    8/25 peers      5 MiB chain  980 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:19:36 UTC  Ancient:#5447615 AB:#5450920    7/25 peers      5 MiB chain  520 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:20:08 UTC  Ancient:#5447616 AB:#5450920    5/25 peers      5 MiB chain  655 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
