2021-10-01 19:24:41 UTC  Ancient:#11170007 AB:#11173667   21/25 peers    638 KiB chain  722 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:24:56 UTC Syncing #13335338 0x77bc…d94d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11170007 LI:#13335343   21/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:01 UTC Syncing #13335339 0x4f41…aa5d     0.20 blk/s   74.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11170008 LI:#13335344   22/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:06 UTC Syncing #13335339 0x4f41…aa5d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11170008 LI:#13335345   23/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:11 UTC Syncing #13335339 0x4f41…aa5d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11170008 LI:#13335345   21/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:16 UTC Syncing #13335340 0x8081…9942     0.20 blk/s   33.8 tx/s    3.3 Mgas/s      0+    5 Qed Ancient:#11170009 LI:#13335345   21/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:21 UTC Syncing #13335341 0x7f91…7627     0.20 blk/s   36.2 tx/s    2.9 Mgas/s      0+    5 Qed Ancient:#11170010 LI:#13335346   21/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:25:36 UTC Imported #13335347 0xa792…93f6 (30 txs, 1.81 Mgas, 456 ms, 13.87 KiB)
2021-10-01 19:25:51 UTC  Ancient:#11171029 AB:#11173667   22/25 peers   744 bytes chain  167 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:26:16 UTC Syncing #13335347 0xa792…93f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11171029 LI:#13335351   21/25 peers      1 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:26:21 UTC Syncing #13335348 0xe9a1…32fc     0.20 blk/s   49.6 tx/s    4.0 Mgas/s      0+    4 Qed Ancient:#11171030 LI:#13335352   22/25 peers    109 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:26:26 UTC Syncing #13335348 0xe9a1…32fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11171030 LI:#13335352   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:26:31 UTC Syncing #13335348 0xe9a1…32fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11171030 LI:#13335352   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:27:01 UTC  Ancient:#11171033 AB:#11174559   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:27:31 UTC  Ancient:#11171034 AB:#11174559   24/25 peers      4 MiB chain  767 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:29:59 UTC Syncing #13335353 0x8a5f…4f0b     0.02 blk/s    4.4 tx/s    0.4 Mgas/s      0+   10 Qed Ancient:#11172564 LI:#13335363   23/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:29:59 UTC Syncing #13335353 0x8a5f…4f0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11172566 LI:#13335363   23/25 peers     72 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:30:29 UTC Syncing #13335354 0xc2aa…10bb     0.05 blk/s   30.3 tx/s    1.6 Mgas/s      0+    9 Qed Ancient:#11172567 LI:#13335363   23/25 peers    218 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:30:29 UTC Syncing #13335354 0xc2aa…10bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11173082 LI:#13335364   23/25 peers    0 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:30:41 UTC Syncing #13335354 0xc2aa…10bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173307 LI:#13335367   21/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:30:44 UTC Syncing #13335354 0xc2aa…10bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173365 LI:#13335367   21/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:31:07 UTC Syncing #13335354 0xc2aa…10bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173365 LI:#13335370   22/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:31:14 UTC Syncing #13335354 0xc2aa…10bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173365 LI:#13335370   22/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
