2021-10-01 19:20:06 UTC Syncing #13335314 0x13af…322f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11169229 LI:#13335323   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:11 UTC Syncing #13335315 0x2438…31a6     0.20 blk/s   73.8 tx/s    5.6 Mgas/s      0+    8 Qed Ancient:#11169231 LI:#13335323   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:16 UTC Syncing #13335317 0xb87d…476d     0.60 blk/s   93.6 tx/s    7.1 Mgas/s      0+    5 Qed Ancient:#11169235 LI:#13335323   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:21 UTC Syncing #13335317 0xb87d…476d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11169235 LI:#13335324   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:26 UTC Syncing #13335317 0xb87d…476d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11169235 LI:#13335324   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:31 UTC Syncing #13335320 0xe1c3…45dc     0.60 blk/s   46.2 tx/s    3.5 Mgas/s      0+    4 Qed Ancient:#11169238 LI:#13335325   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:36 UTC Syncing #13335320 0xe1c3…45dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169238 LI:#13335325   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:41 UTC Syncing #13335320 0xe1c3…45dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169238 LI:#13335325   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:20:46 UTC Syncing #13335320 0xe1c3…45dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169238 LI:#13335325   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:21:14 UTC Imported #13335327 0x2d70…9c29 (0 txs, 0.00 Mgas, 6 ms, 0.53 KiB)
2021-10-01 19:21:38 UTC  Ancient:#11169996 AB:#11172821   31/50 peers      5 KiB chain  570 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:21:56 UTC Syncing #13335328 0xabaf…5f0b     0.05 blk/s    7.9 tx/s    0.8 Mgas/s      0+    4 Qed Ancient:#11169997 LI:#13335333   24/25 peers    111 KiB chain 1010 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:22:02 UTC Syncing #13335328 0xabaf…5f0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169997 LI:#13335333   24/25 peers    111 KiB chain 1010 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:22:08 UTC Syncing #13335328 0xabaf…5f0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169997 LI:#13335333   25/25 peers    111 KiB chain 1010 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:22:11 UTC Syncing #13335328 0xabaf…5f0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11169997 LI:#13335333   25/25 peers    111 KiB chain 1010 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:22:31 UTC Syncing #13335330 0x1277…8f56     0.10 blk/s   14.5 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#11169999 LI:#13335335   24/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:23:01 UTC  Ancient:#11170001 AB:#11173667   24/25 peers    217 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:23:21 UTC Syncing #13335333 0xd78a…d983     0.05 blk/s   18.1 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#11170002 LI:#13335338   25/25 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
