2021-10-01 19:35:26 UTC Syncing #13335367 0xeca0…0ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173425 LI:#13335382   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:35:35 UTC Syncing #13335367 0xeca0…0ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11173425 LI:#13335383   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:35:49 UTC Syncing #13335367 0xeca0…0ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11173425 LI:#13335384   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:35:49 UTC Syncing #13335367 0xeca0…0ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11173425 LI:#13335384   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:35:57 UTC Syncing #13335370 0x7cc7…ff87     0.38 blk/s   41.2 tx/s    3.2 Mgas/s      0+   15 Qed Ancient:#11173438 LI:#13335384   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:35:57 UTC Syncing #13335368 0x028e…c8a7     0.43 blk/s  110.9 tx/s    8.8 Mgas/s      0+   16 Qed Ancient:#11173426 LI:#13335384   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:04 UTC Syncing #13335370 0x7cc7…ff87     0.46 blk/s   16.5 tx/s    1.2 Mgas/s      0+   14 Qed Ancient:#11173439 LI:#13335384   27/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:06 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173439 LI:#13335384   26/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:13 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173439 LI:#13335384   26/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:16 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173439 LI:#13335384   26/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:21 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173439 LI:#13335385   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:26 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173439 LI:#13335385   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:36 UTC Syncing #13335370 0x7cc7…ff87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11173439 LI:#13335385   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:36:42 UTC Syncing #13335371 0x610f…1c37     0.10 blk/s   38.5 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#11173440 LI:#13335385   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
