2021-10-01 19:40:32 UTC Syncing #13335387 0x03ad…3dbc     0.10 blk/s   52.8 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#11173458 LI:#13335400   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:32 UTC Syncing #13335387 0x03ad…3dbc     0.20 blk/s  105.6 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11173458 LI:#13335400   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:36 UTC Syncing #13335387 0x03ad…3dbc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173458 LI:#13335401   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:45 UTC Syncing #13335388 0xf976…aa5c     0.20 blk/s   43.6 tx/s    3.6 Mgas/s      0+   13 Qed Ancient:#11173459 LI:#13335401   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:50 UTC Syncing #13335391 0x53c5…6d3d     0.60 blk/s   29.4 tx/s    2.9 Mgas/s      0+   10 Qed Ancient:#11173462 LI:#13335401   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:56 UTC Syncing #13335392 0x03e9…6204     0.20 blk/s   50.6 tx/s    3.2 Mgas/s      0+    9 Qed Ancient:#11173463 LI:#13335401   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:40:56 UTC Syncing #13335394 0xe3a9…80e7     0.40 blk/s   34.0 tx/s    3.1 Mgas/s      0+    7 Qed Ancient:#11173465 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:02 UTC Syncing #13335395 0xb48e…3303     0.20 blk/s   73.0 tx/s    5.6 Mgas/s      0+    7 Qed Ancient:#11173466 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:07 UTC Syncing #13335396 0x102d…80c2     0.20 blk/s   15.8 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11173467 LI:#13335402   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:13 UTC Syncing #13335397 0x094b…5ac9     0.20 blk/s   35.8 tx/s    2.2 Mgas/s      0+    6 Qed Ancient:#11173468 LI:#13335403   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:41:22 UTC Reorg to #13335400 0x07dc…b828 (0x1bff…f8dd #13335398 0x35c2…a528 0x8422…ea98)
2021-10-01 19:41:36 UTC Imported #13335403 0x74da…b916 (75 txs, 6.96 Mgas, 1781 ms, 48.63 KiB)
2021-10-01 19:43:20 UTC Syncing #13335404 0xcc84…911c     0.06 blk/s   12.4 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#11175905 LI:#13335412    7/25 peers     39 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:43:20 UTC Syncing #13335404 0xcc84…911c     0.06 blk/s   12.4 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#11175905 LI:#13335412    7/25 peers   744 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:05 UTC Syncing #13335404 0xcc84…911c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335415    1/25 peers    0 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:13 UTC Syncing #13335404 0xcc84…911c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11176750 LI:#13335415    1/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:21 UTC Syncing #13335404 0xcc84…911c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335416    1/25 peers     74 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:21 UTC Syncing #13335404 0xcc84…911c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335416    1/25 peers     74 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:26 UTC Syncing #13335404 0xcc84…911c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11176750 LI:#13335417    1/25 peers     74 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:31 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11176750 LI:#13335417    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:39 UTC Syncing #13335405 0xe005…64af     0.20 blk/s   23.8 tx/s    2.4 Mgas/s      0+   13 Qed Ancient:#11176750 LI:#13335418    1/25 peers     92 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:41 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:47 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:44:51 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:02 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
