2021-05-09 11:11:31 UTC Syncing #12399659 0x56c2…6a48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:36 UTC Syncing #12399660 0x7779…5c60     0.20 blk/s   25.0 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:41 UTC Syncing #12399661 0x7ed6…5335     0.20 blk/s   39.8 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:46 UTC Syncing #12399661 0x7ed6…5335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399837   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:51 UTC Syncing #12399662 0x425b…510c     0.20 blk/s   38.0 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399839   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:56 UTC Syncing #12399662 0x425b…510c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399841   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:01 UTC Syncing #12399663 0xe17c…9f69     0.20 blk/s   61.6 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399842   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:06 UTC Syncing #12399664 0x9ee2…6438     0.20 blk/s   53.0 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399842   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:11 UTC Syncing #12399665 0x5cb6…75df     0.20 blk/s   71.6 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399843   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:16 UTC Syncing #12399666 0x487f…6195     0.20 blk/s   54.2 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399844   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:21 UTC Syncing #12399667 0xb4b6…07ec     0.20 blk/s   50.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399844   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:26 UTC Syncing #12399668 0xb69b…8429     0.20 blk/s   57.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399845   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:31 UTC Syncing #12399669 0x6a46…9955     0.20 blk/s   34.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:36 UTC Syncing #12399670 0xa1bc…045a     0.20 blk/s   58.8 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:41 UTC Syncing #12399670 0xa1bc…045a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:46 UTC Syncing #12399671 0x224a…0f4a     0.20 blk/s   57.4 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
