2021-05-09 11:10:31 UTC Syncing #12399653 0x834d…e89f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399831   39/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:10:36 UTC Syncing #12399654 0xe9bf…26fe     0.20 blk/s   69.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399831   39/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:10:41 UTC Syncing #12399655 0x20b8…3e1d     0.20 blk/s   42.8 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399833   39/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:10:46 UTC Syncing #12399655 0x20b8…3e1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  184 Qed Ancient:#12122990 LI:#12399835   39/50 peers      4 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:10:52 UTC Syncing #12399656 0x0439…a697     0.20 blk/s   37.4 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399835   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:10:56 UTC Syncing #12399656 0x0439…a697     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399835   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:01 UTC Syncing #12399657 0x74bf…2953     0.20 blk/s   55.2 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:06 UTC Syncing #12399657 0x74bf…2953     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:11 UTC Syncing #12399658 0x99d3…e510     0.20 blk/s   61.6 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:16 UTC Syncing #12399659 0x56c2…6a48     0.20 blk/s   41.2 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:11:21 UTC Syncing #12399659 0x56c2…6a48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399836   40/50 peers      4 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
