2021-05-09 11:12:06 UTC Syncing #12399664 0x9ee2…6438     0.20 blk/s   53.0 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399842   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:11 UTC Syncing #12399665 0x5cb6…75df     0.20 blk/s   71.6 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399843   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:16 UTC Syncing #12399666 0x487f…6195     0.20 blk/s   54.2 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12122990 LI:#12399844   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:21 UTC Syncing #12399667 0xb4b6…07ec     0.20 blk/s   50.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399844   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:26 UTC Syncing #12399668 0xb69b…8429     0.20 blk/s   57.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399845   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:31 UTC Syncing #12399669 0x6a46…9955     0.20 blk/s   34.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:36 UTC Syncing #12399670 0xa1bc…045a     0.20 blk/s   58.8 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:41 UTC Syncing #12399670 0xa1bc…045a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:46 UTC Syncing #12399671 0x224a…0f4a     0.20 blk/s   57.4 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:51 UTC Syncing #12399672 0x66e2…ce9a     0.20 blk/s   33.0 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:12:56 UTC Syncing #12399673 0x8ee1…1573     0.20 blk/s   37.4 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:01 UTC Syncing #12399674 0xe99b…3b74     0.20 blk/s    9.0 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12122990 LI:#12399846   40/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:06 UTC Syncing #12399675 0x3b27…0312     0.20 blk/s  107.2 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12122990 LI:#12399848   40/50 peers      5 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:11 UTC Syncing #12399676 0x77d2…d76c     0.20 blk/s   85.4 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12122990 LI:#12399848   40/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:16 UTC Syncing #12399677 0xfaa8…dc25     0.20 blk/s   61.8 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12122990 LI:#12399848   40/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:21 UTC Syncing #12399678 0xea6b…05d9     0.20 blk/s   42.2 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12122990 LI:#12399849   40/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:26 UTC Syncing #12399678 0xea6b…05d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12122990 LI:#12399849   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:31 UTC Syncing #12399680 0x9f4a…8b9b     0.40 blk/s   97.8 tx/s    6.0 Mgas/s      0+  175 Qed Ancient:#12122990 LI:#12399850   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:36 UTC Syncing #12399680 0x9f4a…8b9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12122990 LI:#12399851   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:13:42 UTC Syncing #12399681 0x216c…e27a     0.20 blk/s   37.4 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12122990 LI:#12399851   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
