2021-10-02 01:42:56 UTC Syncing #13336964 0x3e5f…9f69     0.20 blk/s   37.2 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#11283143 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:00 UTC Reorg to #13336965 0xb5d7…d414 (0x3e5f…9f69 #13336963 0xdfb8…ae3f 0x9a6d…0eac)
2021-10-02 01:43:06 UTC Syncing #13336965 0xb5d7…d414     0.10 blk/s   14.2 tx/s    1.2 Mgas/s      0+   10 Qed Ancient:#11283144 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:06 UTC Syncing #13336965 0xb5d7…d414     0.20 blk/s   28.4 tx/s    2.3 Mgas/s      0+   10 Qed Ancient:#11283144 LI:#13336976   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:11 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:16 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:21 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:26 UTC Syncing #13336965 0xb5d7…d414     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11283144 LI:#13336977   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:34 UTC Syncing #13336966 0x9e64…703b     0.20 blk/s   70.8 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11283145 LI:#13336977   20/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:36 UTC Syncing #13336966 0x9e64…703b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11283145 LI:#13336977   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:43:41 UTC Syncing #13336966 0x9e64…703b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11283145 LI:#13336977   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
