2021-10-02 01:36:42 UTC Reorg to #13336942 0x602c…89c3 (0x4a7b…4f32 #13336940 0xab47…b8ee 0xa7d1…562b)
2021-10-02 01:36:47 UTC Syncing #13336942 0x602c…89c3     0.20 blk/s   45.8 tx/s    2.7 Mgas/s      0+    8 Qed Ancient:#11282232 LI:#13336951   25/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:36:51 UTC Syncing #13336944 0x6b87…a59b     0.40 blk/s   16.4 tx/s    1.2 Mgas/s      0+    6 Qed Ancient:#11282235 LI:#13336951   26/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:36:56 UTC Syncing #13336944 0x6b87…a59b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11282235 LI:#13336952   25/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:37:22 UTC Syncing #13336944 0x6b87…a59b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11282235 LI:#13336954   24/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:37:22 UTC Syncing #13336944 0x6b87…a59b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11282235 LI:#13336954   24/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:37:47 UTC Syncing #13336945 0xcfad…f0d7     0.05 blk/s   18.3 tx/s    1.4 Mgas/s      0+   10 Qed Ancient:#11282639 LI:#13336955   20/25 peers   432 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:37:47 UTC Syncing #13336945 0xcfad…f0d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11282810 LI:#13336955   20/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:28 UTC Syncing #13336945 0xcfad…f0d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11282811 LI:#13336958   23/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:28 UTC Syncing #13336945 0xcfad…f0d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11282811 LI:#13336958   23/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:36 UTC Syncing #13336947 0x3533…4778     0.39 blk/s   46.3 tx/s    4.6 Mgas/s      0+   11 Qed Ancient:#11282813 LI:#13336958   23/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:57 UTC Syncing #13336948 0x9152…f172     0.06 blk/s   10.4 tx/s    0.5 Mgas/s      0+   12 Qed Ancient:#11283124 LI:#13336960   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:57 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11283124 LI:#13336960   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:38:57 UTC Syncing #13336947 0x3533…4778     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11282948 LI:#13336960   20/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:04 UTC Syncing #13336948 0x9152…f172     0.27 blk/s   47.7 tx/s    2.3 Mgas/s      0+   11 Qed Ancient:#11283125 LI:#13336960   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:06 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11283125 LI:#13336961   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:18 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283125 LI:#13336964   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:18 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283125 LI:#13336964   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:21 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283125 LI:#13336965   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:30 UTC Syncing #13336948 0x9152…f172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283125 LI:#13336965   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:37 UTC Syncing #13336949 0x2360…2192     0.10 blk/s   11.4 tx/s    1.5 Mgas/s      0+   16 Qed Ancient:#11283126 LI:#13336965   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:37 UTC Syncing #13336949 0x2360…2192     0.20 blk/s   22.8 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#11283126 LI:#13336965   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:41 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283126 LI:#13336965   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:47 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283126 LI:#13336965   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:51 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283126 LI:#13336965   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:39:56 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283126 LI:#13336966   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:01 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11283126 LI:#13336967   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:06 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11283126 LI:#13336967   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:11 UTC Syncing #13336949 0x2360…2192     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11283126 LI:#13336967   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:18 UTC Syncing #13336950 0xc7eb…5658     0.20 blk/s   73.8 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11283127 LI:#13336967   22/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:21 UTC Syncing #13336950 0xc7eb…5658     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283127 LI:#13336967   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:31 UTC Syncing #13336952 0x17f6…8cfc     0.20 blk/s   27.3 tx/s    2.0 Mgas/s      0+   16 Qed Ancient:#11283129 LI:#13336968   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:40:31 UTC Syncing #13336951 0x8d95…5e4f     0.20 blk/s   40.4 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#11283128 LI:#13336968   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
