2021-10-02 01:52:01 UTC  Ancient:#11285540 AB:#11286475   11/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:52:41 UTC Syncing #13337015 0x5515…39e6     0.03 blk/s   12.4 tx/s    0.8 Mgas/s      0+    4 Qed Ancient:#11286311 LI:#13337018    8/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:52:41 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11286341 LI:#13337018    8/25 peers    573 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:52:41 UTC Syncing #13337015 0x5515…39e6     0.02 blk/s   10.9 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11286341 LI:#13337018    8/25 peers    573 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:52:55 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11286360 LI:#13337018    7/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:52:55 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11286475 LI:#13337018    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:05 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11286475 LI:#13337021    7/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:05 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11286475 LI:#13337021    7/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:15 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11286475 LI:#13337021    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:16 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11286475 LI:#13337022    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:38 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11286475 LI:#13337022    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:38 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11286475 LI:#13337022    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:38 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11286475 LI:#13337022    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:38 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11286475 LI:#13337022    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:41 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11286475 LI:#13337027    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:46 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11286475 LI:#13337027    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:51 UTC Syncing #13337015 0x5515…39e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11286475 LI:#13337028    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:53:57 UTC Syncing #13337016 0xc66a…c9c7     0.20 blk/s   62.4 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11286475 LI:#13337028    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:01 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11286475 LI:#13337031    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:09 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11286475 LI:#13337031    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:11 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11286475 LI:#13337032    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:16 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11286475 LI:#13337032    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:21 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11286475 LI:#13337032    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:26 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11286475 LI:#13337032    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:31 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286475 LI:#13337033    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:36 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286475 LI:#13337033    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:41 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286475 LI:#13337033    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:46 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286475 LI:#13337033    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:51 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286475 LI:#13337033    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:54:56 UTC Syncing #13337016 0xc66a…c9c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286475 LI:#13337034    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:02 UTC Syncing #13337017 0x6b5a…a173     0.20 blk/s   59.2 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11286476 LI:#13337034    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:06 UTC Syncing #13337017 0x6b5a…a173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286476 LI:#13337036    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:11 UTC Syncing #13337017 0x6b5a…a173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286476 LI:#13337036   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:16 UTC Syncing #13337017 0x6b5a…a173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286476 LI:#13337036   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:21 UTC Syncing #13337017 0x6b5a…a173     0.20 blk/s   90.4 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11286477 LI:#13337036   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:26 UTC Syncing #13337017 0x6b5a…a173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286477 LI:#13337036   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:35 UTC Syncing #13337018 0x5547…cdca     0.20 blk/s   28.6 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#11286478 LI:#13337036   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:36 UTC Syncing #13337018 0x5547…cdca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286478 LI:#13337036   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:41 UTC Syncing #13337018 0x5547…cdca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286478 LI:#13337036    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:48 UTC Syncing #13337018 0x5547…cdca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286478 LI:#13337036   13/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:52 UTC Syncing #13337018 0x5547…cdca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286478 LI:#13337037   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:55:56 UTC Syncing #13337018 0x5547…cdca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286478 LI:#13337037   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:12 UTC Syncing #13337020 0xc97b…a1b9     0.20 blk/s   22.7 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#11286481 LI:#13337037   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:12 UTC Syncing #13337020 0xc97b…a1b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11286481 LI:#13337037   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:12 UTC Syncing #13337020 0xc97b…a1b9     0.40 blk/s   45.4 tx/s    3.6 Mgas/s      0+   16 Qed Ancient:#11286481 LI:#13337037   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:16 UTC Syncing #13337020 0xc97b…a1b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286481 LI:#13337038    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:24 UTC Syncing #13337020 0xc97b…a1b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286481 LI:#13337039    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:29 UTC Syncing #13337021 0x100c…7971     0.20 blk/s   35.8 tx/s    3.4 Mgas/s      0+   17 Qed Ancient:#11286482 LI:#13337039    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:31 UTC Syncing #13337021 0x100c…7971     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286482 LI:#13337040    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:36 UTC Syncing #13337021 0x100c…7971     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286482 LI:#13337041    9/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:45 UTC Syncing #13337022 0x583c…44b5     0.20 blk/s   18.4 tx/s    1.7 Mgas/s      0+   18 Qed Ancient:#11286483 LI:#13337041    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:46 UTC Syncing #13337022 0x583c…44b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11286483 LI:#13337043    9/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:52 UTC Syncing #13337023 0x95ba…1fd2     0.20 blk/s   32.4 tx/s    3.0 Mgas/s      0+   19 Qed Ancient:#11286484 LI:#13337043    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:56:56 UTC Syncing #13337023 0x95ba…1fd2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286484 LI:#13337043    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:03 UTC Syncing #13337024 0x0dae…9190     0.20 blk/s   19.6 tx/s    1.8 Mgas/s      0+   18 Qed Ancient:#11286485 LI:#13337043    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:10 UTC Syncing #13337025 0xa55c…bc62     0.20 blk/s   16.0 tx/s    1.2 Mgas/s      0+   19 Qed Ancient:#11286486 LI:#13337045    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:17 UTC Syncing #13337027 0x3378…75ab     0.20 blk/s    9.6 tx/s    0.8 Mgas/s      0+   17 Qed Ancient:#11286488 LI:#13337045    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:17 UTC Syncing #13337026 0x83db…7c51     0.20 blk/s   15.4 tx/s    1.2 Mgas/s      0+   18 Qed Ancient:#11286487 LI:#13337045    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:30 UTC Syncing #13337027 0x3378…75ab     0.10 blk/s    1.9 tx/s    0.2 Mgas/s      0+   17 Qed Ancient:#11286488 LI:#13337045    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:30 UTC Syncing #13337027 0x3378…75ab     0.20 blk/s    3.8 tx/s    0.3 Mgas/s      0+   17 Qed Ancient:#11286488 LI:#13337045    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:31 UTC Syncing #13337027 0x3378…75ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286488 LI:#13337046    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:36 UTC Syncing #13337027 0x3378…75ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286488 LI:#13337046    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:41 UTC Syncing #13337027 0x3378…75ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286488 LI:#13337046    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:49 UTC Syncing #13337028 0xcb5e…c772     0.20 blk/s   68.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11286489 LI:#13337047    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:51 UTC Syncing #13337028 0xcb5e…c772     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286489 LI:#13337048    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:57:56 UTC Syncing #13337028 0xcb5e…c772     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286489 LI:#13337048   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:01 UTC Syncing #13337030 0x21f9…67b6     0.40 blk/s   49.6 tx/s    2.9 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:10 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:11 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:16 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:21 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286491 LI:#13337049   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:26 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:31 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:36 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
