2021-10-02 01:57:56 UTC Syncing #13337028 0xcb5e…c772     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286489 LI:#13337048   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:01 UTC Syncing #13337030 0x21f9…67b6     0.40 blk/s   49.6 tx/s    2.9 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:10 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:11 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:16 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11286491 LI:#13337048   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:21 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11286491 LI:#13337049   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:26 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:31 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:36 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11286491 LI:#13337050   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:41 UTC Syncing #13337030 0x21f9…67b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11286491 LI:#13337051   16/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:48 UTC Syncing #13337031 0xb0e0…cf4a     0.20 blk/s   44.8 tx/s    5.8 Mgas/s      0+   19 Qed Ancient:#11286493 LI:#13337051   15/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:58:54 UTC Syncing #13337032 0xcffb…c7d2     0.20 blk/s   18.0 tx/s    1.6 Mgas/s      0+   18 Qed Ancient:#11286494 LI:#13337051   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
