2021-09-22 01:40:28 UTC Syncing #13272684 0xe851…92d0     0.20 blk/s   29.8 tx/s    3.1 Mgas/s      0+    5 Qed Ancient:#5628576 LI:#13272690   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:28 UTC Syncing #13272684 0xe851…92d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5628576 LI:#13272690   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:33 UTC Syncing #13272684 0xe851…92d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628576 LI:#13272691   23/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:39 UTC Syncing #13272684 0xe851…92d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628576 LI:#13272691   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:45 UTC Syncing #13272684 0xe851…92d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628576 LI:#13272691   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:01 UTC Syncing #13272684 0xe851…92d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628576 LI:#13272691   23/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:01 UTC Syncing #13272686 0x5c5f…2a28     0.22 blk/s   32.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#5628847 LI:#13272691   23/25 peers      9 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:01 UTC Syncing #13272686 0x5c5f…2a28     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5628848 LI:#13272691   23/25 peers     23 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:04 UTC Syncing #13272686 0x5c5f…2a28     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5628848 LI:#13272691   23/25 peers     92 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:27 UTC Syncing #13272687 0xa962…ac64     0.05 blk/s    3.2 tx/s    0.2 Mgas/s      0+    5 Qed Ancient:#5628849 LI:#13272693   21/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:41:37 UTC Syncing #13272688 0xdca7…caa5     0.10 blk/s   21.0 tx/s    1.8 Mgas/s      0+    5 Qed Ancient:#5628851 LI:#13272694   19/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
