2021-09-22 01:34:28 UTC Syncing #13272655 0x68c4…935a     0.20 blk/s   39.4 tx/s    2.7 Mgas/s      0+   11 Qed Ancient:#5625010 LI:#13272666   29/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:34:33 UTC Syncing #13272656 0xe44f…4998     0.20 blk/s   58.2 tx/s    3.3 Mgas/s      0+   10 Qed Ancient:#5625011 LI:#13272666   29/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:34:38 UTC Syncing #13272657 0xbbd5…1acc     0.20 blk/s   35.4 tx/s    2.2 Mgas/s      0+    9 Qed Ancient:#5625012 LI:#13272666   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:34:43 UTC Syncing #13272658 0x2c61…6dd2     0.20 blk/s   29.4 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#5625013 LI:#13272666   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:34:48 UTC Syncing #13272660 0x0a09…9abb     0.60 blk/s   79.2 tx/s    5.9 Mgas/s      0+    5 Qed Ancient:#5625016 LI:#13272666   29/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:35:18 UTC  Ancient:#5625023 AB:#5628827   31/50 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:35:40 UTC Imported #13272667 0x3619…50b5 (541 txs, 29.98 Mgas, 10958 ms, 159.46 KiB)
2021-09-22 01:35:49 UTC  Ancient:#5627289 AB:#5629335   27/50 peers      5 MiB chain    1 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:35:58 UTC Imported #13272669 0x4a91…46bd (0 txs, 0.00 Mgas, 9 ms, 0.53 KiB)
2021-09-22 01:36:24 UTC  Ancient:#5628561 AB:#5629970   22/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:36:58 UTC  Ancient:#5628563 AB:#5631877   23/25 peers      5 MiB chain  620 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:37:32 UTC  Ancient:#5628565 AB:#5631877   24/25 peers      5 MiB chain  435 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:37:58 UTC Syncing #13272673 0xefc2…dfc2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5628565 LI:#13272678   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:38:04 UTC Syncing #13272673 0xefc2…dfc2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5628565 LI:#13272678   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:38:28 UTC Syncing #13272674 0xc045…8f14     0.04 blk/s   12.3 tx/s    1.0 Mgas/s      0+    4 Qed Ancient:#5628566 LI:#13272679   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
