2021-09-22 01:45:42 UTC Syncing #13272703 0xab7d…6ab8     0.20 blk/s   52.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5631405 LI:#13272712   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:46 UTC Syncing #13272704 0xa36a…8c8a     0.20 blk/s   12.2 tx/s    1.3 Mgas/s      0+    8 Qed Ancient:#5631406 LI:#13272713   15/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:50 UTC Syncing #13272704 0xa36a…8c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5631406 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:56 UTC Syncing #13272705 0x486c…c841     0.20 blk/s   29.0 tx/s    1.9 Mgas/s      0+    8 Qed Ancient:#5631407 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:07 UTC Syncing #13272705 0x486c…c841     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5631407 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:07 UTC Syncing #13272707 0x0c82…23fa     0.20 blk/s   38.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#5631409 LI:#13272715   14/25 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:08 UTC Syncing #13272707 0x0c82…23fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5631409 LI:#13272716   14/25 peers    658 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:15 UTC Syncing #13272708 0x1502…629f     0.20 blk/s   76.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5631410 LI:#13272716   14/25 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:20 UTC Syncing #13272709 0x82ba…1c2b     0.20 blk/s   62.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5631411 LI:#13272716   14/25 peers    938 KiB chain  787 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:25 UTC Syncing #13272709 0x82ba…1c2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631411 LI:#13272717   12/25 peers    938 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:47:17 UTC Imported #13272719 0x3990…59f5 (227 txs, 20.37 Mgas, 4170 ms, 174.69 KiB)
2021-09-22 01:47:18 UTC  Ancient:#5633982 AB:#5634735   12/25 peers   432 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:47:48 UTC  Ancient:#5633991 AB:#5635304   10/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:48:18 UTC  Ancient:#5633992 AB:#5636701   12/25 peers    356 KiB chain  695 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:48:48 UTC  Ancient:#5633997 AB:#5636701   13/25 peers    356 KiB chain  343 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:49:18 UTC  Ancient:#5634000 AB:#5637297   12/25 peers      7 MiB chain  503 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:52:14 UTC Syncing #13272726 0x7456…1cfe     0.01 blk/s    2.5 tx/s    0.2 Mgas/s      0+   10 Qed Ancient:#5637297 LI:#13272736    0/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:52:15 UTC Syncing #13272726 0x7456…1cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5637297 LI:#13272736    0/25 peers     77 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
