2021-09-22 02:05:53 UTC Syncing #13272797 0x0b70…3629     0.22 blk/s   22.0 tx/s    2.2 Mgas/s      0+    7 Qed Ancient:#5641580 LI:#13272805   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:06 UTC Syncing #13272797 0x0b70…3629     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5641580 LI:#13272805   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:06 UTC Syncing #13272798 0x7d16…8584     0.24 blk/s   37.8 tx/s    2.3 Mgas/s      0+    7 Qed Ancient:#5641719 LI:#13272805   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:36 UTC Syncing #13272798 0x7d16…8584     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5642144 LI:#13272808   13/25 peers    0 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:46 UTC Syncing #13272799 0xd3e4…4916     0.26 blk/s   34.7 tx/s    2.3 Mgas/s      0+    8 Qed Ancient:#5642145 LI:#13272808   13/25 peers    110 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:46 UTC Syncing #13272799 0xd3e4…4916     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5642145 LI:#13272808   13/25 peers    110 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:53 UTC Syncing #13272799 0xd3e4…4916     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5642145 LI:#13272810   12/25 peers    110 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:06:55 UTC Syncing #13272799 0xd3e4…4916     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5642145 LI:#13272810   12/25 peers    110 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:07:05 UTC Syncing #13272800 0x8b0f…9bd6     0.20 blk/s   20.6 tx/s    1.3 Mgas/s      0+    9 Qed Ancient:#5642146 LI:#13272810   12/25 peers    111 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:07:05 UTC Syncing #13272800 0x8b0f…9bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5642146 LI:#13272810   12/25 peers    111 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:07:17 UTC Syncing #13272800 0x8b0f…9bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5642146 LI:#13272812   11/25 peers    112 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
