2021-10-02 02:13:33 UTC Syncing #13337108 0x49dd…c1f7     0.40 blk/s   63.4 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11287671 LI:#13337119   33/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:13:38 UTC Syncing #13337108 0x49dd…c1f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11287671 LI:#13337120   33/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:13:43 UTC Syncing #13337109 0x9dd5…7124     0.40 blk/s  103.0 tx/s    7.8 Mgas/s      0+   11 Qed Ancient:#11287674 LI:#13337120   33/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:13:48 UTC Syncing #13337110 0x2071…6e73     0.20 blk/s   56.0 tx/s    4.3 Mgas/s      0+   10 Qed Ancient:#11287675 LI:#13337120   33/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:13:53 UTC Syncing #13337112 0x53d6…ca65     0.40 blk/s   56.6 tx/s    3.6 Mgas/s      0+    8 Qed Ancient:#11287677 LI:#13337120   35/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:13:58 UTC Syncing #13337113 0x2044…1a58     0.20 blk/s   16.2 tx/s    1.5 Mgas/s      0+    7 Qed Ancient:#11287678 LI:#13337120   34/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:14:03 UTC Syncing #13337115 0xf38b…f61d     0.40 blk/s   59.2 tx/s    5.0 Mgas/s      0+    5 Qed Ancient:#11287680 LI:#13337120   34/50 peers      4 MiB chain  985 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:14:08 UTC Syncing #13337116 0x8581…d2dd     0.20 blk/s   58.6 tx/s    5.4 Mgas/s      0+    4 Qed Ancient:#11287681 LI:#13337120   34/50 peers      4 MiB chain  476 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:14:13 UTC Syncing #13337116 0x8581…d2dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11287681 LI:#13337120   34/50 peers      4 MiB chain  476 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:14:21 UTC Imported #13337120 0x8878…a6cc (72 txs, 5.54 Mgas, 1548 ms, 30.16 KiB)
2021-10-02 02:14:36 UTC Imported #13337121 0xd13f…fe6d (288 txs, 21.52 Mgas, 6254 ms, 110.40 KiB)
2021-10-02 02:14:43 UTC  Ancient:#11289373 AB:#11291589   33/50 peers    287 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:15:18 UTC  Ancient:#11291036 AB:#11292583   31/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:31 UTC Imported #13337123 0xfce4…3189 (195 txs, 17.32 Mgas, 20970 ms, 109.66 KiB)
2021-10-02 02:16:32 UTC Syncing #13337123 0xfce4…3189     0.01 blk/s    2.7 tx/s    0.2 Mgas/s      0+    5 Qed Ancient:#11292421 LI:#13337127   23/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:34 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11292431 LI:#13337127   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:34 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11292432 LI:#13337127   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:34 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11292432 LI:#13337127   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:37 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11292438 LI:#13337127   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:43 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11292438 LI:#13337127   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:48 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11292438 LI:#13337127   22/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:16:53 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11292438 LI:#13337127   16/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
