2021-05-09 10:35:06 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:11 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:16 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:21 UTC Syncing #12399444 0x2acb…30dc     0.20 blk/s   87.2 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399653   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:26 UTC Syncing #12399445 0x2636…5931     0.20 blk/s   60.6 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399653   39/50 peers      8 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:31 UTC Syncing #12399445 0x2636…5931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399654   39/50 peers      4 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:36 UTC Syncing #12399445 0x2636…5931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399654   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:41 UTC Syncing #12399446 0x4297…d3b0     0.20 blk/s   61.6 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399655   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:46 UTC Syncing #12399446 0x4297…d3b0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399655   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:51 UTC Syncing #12399447 0x52a5…5cad     0.20 blk/s   51.4 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399656   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
The futex facility returned an unexpected error code.
