2021-05-09 10:34:06 UTC Syncing #12399437 0xce96…60a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  216 Qed Ancient:#12118719 LI:#12399649   39/50 peers      7 MiB chain   50 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:11 UTC Syncing #12399438 0x50ca…67b4     0.20 blk/s   61.8 tx/s    3.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399649   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:16 UTC Syncing #12399438 0x50ca…67b4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  216 Qed Ancient:#12118719 LI:#12399650   39/50 peers      4 MiB chain   50 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:21 UTC Syncing #12399439 0x42b5…01a2     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399650   39/50 peers      5 MiB chain   50 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:26 UTC Syncing #12399440 0x94bd…dfd7     0.20 blk/s   51.0 tx/s    3.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399651   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:31 UTC Syncing #12399440 0x94bd…dfd7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399651   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:36 UTC Syncing #12399440 0x94bd…dfd7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399651   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:41 UTC Syncing #12399441 0x87fc…1975     0.20 blk/s   59.4 tx/s    3.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399652   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:46 UTC Syncing #12399441 0x87fc…1975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399652   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:51 UTC Syncing #12399442 0xca6f…5e7f     0.20 blk/s   59.0 tx/s    3.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399653   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:34:56 UTC Syncing #12399442 0xca6f…5e7f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399653   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:01 UTC Syncing #12399443 0xa47c…cfdb     0.20 blk/s   43.4 tx/s    3.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:06 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:11 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:16 UTC Syncing #12399443 0xa47c…cfdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399653   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:21 UTC Syncing #12399444 0x2acb…30dc     0.20 blk/s   87.2 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399653   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:26 UTC Syncing #12399445 0x2636…5931     0.20 blk/s   60.6 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399653   39/50 peers      8 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:31 UTC Syncing #12399445 0x2636…5931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399654   39/50 peers      4 MiB chain   48 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:36 UTC Syncing #12399445 0x2636…5931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399654   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:41 UTC Syncing #12399446 0x4297…d3b0     0.20 blk/s   61.6 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399655   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:46 UTC Syncing #12399446 0x4297…d3b0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399655   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:35:51 UTC Syncing #12399447 0x52a5…5cad     0.20 blk/s   51.4 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399656   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
