2021-10-01 19:55:48 UTC Syncing #13335445 0x7916…ee1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11176791 LI:#13335469   37/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:55:53 UTC Syncing #13335446 0x56aa…7ab4     0.20 blk/s   21.0 tx/s    1.9 Mgas/s      0+   24 Qed Ancient:#11176792 LI:#13335469   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:55:58 UTC Syncing #13335446 0x56aa…7ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11176792 LI:#13335470   37/50 peers      7 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:03 UTC Syncing #13335446 0x56aa…7ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11176792 LI:#13335470   37/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:08 UTC Syncing #13335446 0x56aa…7ab4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11176792 LI:#13335471   35/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:13 UTC Syncing #13335447 0xdc83…ac80     0.20 blk/s   26.8 tx/s    3.0 Mgas/s      0+   25 Qed Ancient:#11176793 LI:#13335471   35/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:18 UTC Syncing #13335448 0x81b2…4a60     0.20 blk/s    2.0 tx/s    0.2 Mgas/s      0+   24 Qed Ancient:#11176794 LI:#13335471   35/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:23 UTC Syncing #13335448 0x81b2…4a60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11176794 LI:#13335471   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:28 UTC Syncing #13335448 0x81b2…4a60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11176794 LI:#13335471   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:33 UTC Syncing #13335448 0x81b2…4a60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11176794 LI:#13335471   35/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:38 UTC Syncing #13335449 0x68f6…b2db     0.20 blk/s   82.4 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#11176795 LI:#13335472   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:43 UTC Syncing #13335451 0x9d97…951a     0.40 blk/s   51.6 tx/s    5.7 Mgas/s      0+   22 Qed Ancient:#11176797 LI:#13335472   34/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:48 UTC Syncing #13335452 0x5017…58d0     0.20 blk/s   32.2 tx/s    2.0 Mgas/s      0+   22 Qed Ancient:#11176798 LI:#13335473   34/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:53 UTC Syncing #13335452 0x5017…58d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11176798 LI:#13335473   39/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:56:58 UTC Syncing #13335453 0xb824…d69c     0.20 blk/s   86.8 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#11176799 LI:#13335473   38/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:03 UTC Syncing #13335456 0xc667…3774     0.60 blk/s   61.8 tx/s    6.1 Mgas/s      0+   18 Qed Ancient:#11176802 LI:#13335473   38/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:10 UTC Syncing #13335457 0x9804…a171     0.15 blk/s   10.4 tx/s    1.1 Mgas/s      0+   18 Qed Ancient:#11176919 LI:#13335474   39/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:13 UTC Syncing #13335457 0x9804…a171     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11176919 LI:#13335474   39/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
