2021-10-01 20:10:53 UTC Syncing #13335527 0x4f54…bbd7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11182619 LI:#13335536   24/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:10:59 UTC Syncing #13335528 0x35b6…69d1     0.20 blk/s   40.4 tx/s    4.1 Mgas/s      0+    9 Qed Ancient:#11182620 LI:#13335537   24/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:03 UTC Reorg to #13335529 0x939f…abd1 (0x35b6…69d1 #13335527 0x4f54…bbd7 0x3d50…85c4)
2021-10-01 20:11:03 UTC Syncing #13335530 0x9b3e…0c8a     0.60 blk/s   48.8 tx/s    4.9 Mgas/s      0+    6 Qed Ancient:#11182624 LI:#13335537   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:08 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182624 LI:#13335538   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:13 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182624 LI:#13335538   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:18 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182624 LI:#13335538   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:23 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182624 LI:#13335539   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:28 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182624 LI:#13335539   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:33 UTC Syncing #13335530 0x9b3e…0c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182624 LI:#13335539   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:11:48 UTC Syncing #13335531 0x5554…d2e6     0.20 blk/s   62.8 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11182625 LI:#13335539   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
