2021-10-01 20:15:38 UTC Syncing #13335550 0xd742…6b38     0.10 blk/s   24.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#11182646 LI:#13335556   22/25 peers      6 MiB chain  340 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:15:43 UTC Syncing #13335550 0xd742…6b38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11182646 LI:#13335557   23/25 peers      6 MiB chain  787 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:15:55 UTC Syncing #13335552 0x780e…dcb1     0.20 blk/s   21.9 tx/s    2.9 Mgas/s      0+    4 Qed Ancient:#11182648 LI:#13335557   22/25 peers      6 MiB chain  653 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:15:55 UTC Syncing #13335551 0x9078…59cb     0.20 blk/s   37.6 tx/s    4.8 Mgas/s      0+    6 Qed Ancient:#11182646 LI:#13335557   22/25 peers      6 MiB chain  787 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:01 UTC Syncing #13335552 0x780e…dcb1     0.20 blk/s    6.2 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#11182648 LI:#13335557   22/25 peers      6 MiB chain  653 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:18 UTC Syncing #13335554 0x417d…2048     0.10 blk/s    4.7 tx/s    0.7 Mgas/s      0+    5 Qed Ancient:#11182650 LI:#13335560   22/25 peers      5 MiB chain  791 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:29 UTC Syncing #13335555 0x31b2…31fa     0.20 blk/s   48.0 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11182651 LI:#13335560   22/25 peers      5 MiB chain  588 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:29 UTC Syncing #13335555 0x31b2…31fa     0.10 blk/s   24.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#11182651 LI:#13335560   22/25 peers      5 MiB chain  588 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:33 UTC Syncing #13335555 0x31b2…31fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11182651 LI:#13335560   22/25 peers      5 MiB chain  588 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:38 UTC Syncing #13335555 0x31b2…31fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11182651 LI:#13335560   23/25 peers      5 MiB chain  588 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:16:58 UTC Syncing #13335556 0x56fc…65d1     0.05 blk/s   10.8 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11182652 LI:#13335563   23/25 peers      5 MiB chain  755 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:17:03 UTC Syncing #13335556 0x56fc…65d1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11182652 LI:#13335563   24/25 peers      5 MiB chain  755 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:17:22 UTC Syncing #13335557 0xdf1b…f88d     0.20 blk/s   48.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11182653 LI:#13335563   23/25 peers      5 MiB chain  560 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:17:22 UTC Syncing #13335557 0xdf1b…f88d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11182653 LI:#13335563   23/25 peers      5 MiB chain  560 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:17:36 UTC Syncing #13335558 0x3b51…b50c     0.09 blk/s   13.8 tx/s    2.6 Mgas/s      0+    4 Qed Ancient:#11182654 LI:#13335563   23/25 peers      5 MiB chain  445 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:17:36 UTC Syncing #13335558 0x3b51…b50c     0.16 blk/s   24.7 tx/s    4.7 Mgas/s      0+    4 Qed Ancient:#11182654 LI:#13335563   23/25 peers      5 MiB chain  445 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:18:05 UTC  Ancient:#11182658 AB:#11185949   23/25 peers      5 MiB chain  334 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:18:56 UTC Imported #13335564 0xffb2…75a1 (310 txs, 30.01 Mgas, 18052 ms, 72.23 KiB)
2021-10-01 20:20:47 UTC Syncing #13335564 0xffb2…75a1     0.01 blk/s    2.3 tx/s    0.2 Mgas/s      0+   10 Qed Ancient:#11183742 LI:#13335573    1/25 peers     36 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:20:47 UTC Syncing #13335564 0xffb2…75a1     0.01 blk/s    2.3 tx/s    0.2 Mgas/s      0+   10 Qed Ancient:#11183740 LI:#13335573    1/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
