2021-09-21 20:44:24 UTC Syncing #13271365 0xc917…a0f9     0.20 blk/s   61.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#5463719 LI:#13271371    8/25 peers      2 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:27 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463719 LI:#13271371    8/25 peers      2 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:29 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463719 LI:#13271372    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:34 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463719 LI:#13271372    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:43 UTC Syncing #13271366 0x6cfe…f330     0.20 blk/s   49.8 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#5463720 LI:#13271372    7/25 peers      2 MiB chain  889 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:44 UTC Syncing #13271366 0x6cfe…f330     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463720 LI:#13271374    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:53 UTC Syncing #13271367 0x1108…5ea4     0.20 blk/s   25.6 tx/s    2.0 Mgas/s      0+    6 Qed Ancient:#5463721 LI:#13271374    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:00 UTC Syncing #13271368 0xb8ca…7989     0.10 blk/s   11.1 tx/s    0.9 Mgas/s      0+    6 Qed Ancient:#5463722 LI:#13271375    6/25 peers      2 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:00 UTC Syncing #13271368 0xb8ca…7989     0.20 blk/s   22.2 tx/s    1.8 Mgas/s      0+    6 Qed Ancient:#5463722 LI:#13271375    6/25 peers      2 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:07 UTC Syncing #13271370 0xf252…bf84     0.40 blk/s   23.8 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#5463724 LI:#13271376    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:14 UTC Syncing #13271370 0xf252…bf84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463724 LI:#13271376    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:14 UTC Syncing #13271370 0xf252…bf84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463724 LI:#13271377    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:19 UTC Syncing #13271370 0xf252…bf84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463724 LI:#13271377    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:28 UTC Syncing #13271370 0xf252…bf84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463724 LI:#13271377    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:29 UTC Syncing #13271370 0xf252…bf84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463724 LI:#13271378    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:40 UTC Syncing #13271371 0x8004…6efc     0.20 blk/s   49.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5463725 LI:#13271378    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:40 UTC Syncing #13271372 0xa3ed…bb25     0.17 blk/s    6.4 tx/s    0.7 Mgas/s      0+    5 Qed Ancient:#5463726 LI:#13271378    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:47 UTC Syncing #13271372 0xa3ed…bb25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463726 LI:#13271379    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:52 UTC Syncing #13271372 0xa3ed…bb25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5463726 LI:#13271381    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:54 UTC Syncing #13271373 0x2559…347d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5463726 LI:#13271382    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:02 UTC Syncing #13271373 0x2559…347d     0.20 blk/s   48.0 tx/s    4.8 Mgas/s      0+    8 Qed Ancient:#5463727 LI:#13271382    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:04 UTC Syncing #13271373 0x2559…347d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5463727 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:18 UTC Syncing #13271375 0x5c35…c021     0.20 blk/s    7.5 tx/s    0.8 Mgas/s      0+    7 Qed Ancient:#5463729 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:18 UTC Syncing #13271375 0x5c35…c021     0.40 blk/s   15.0 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#5463729 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:19 UTC Syncing #13271375 0x5c35…c021     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463729 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:32 UTC Syncing #13271375 0x5c35…c021     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463729 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:32 UTC Syncing #13271375 0x5c35…c021     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463729 LI:#13271383    6/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:43 UTC Syncing #13271376 0x74c6…22c0     0.20 blk/s   58.4 tx/s    5.8 Mgas/s      0+    6 Qed Ancient:#5463730 LI:#13271383    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:43 UTC Syncing #13271376 0x74c6…22c0     0.10 blk/s   29.2 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#5463730 LI:#13271383    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:49 UTC Syncing #13271377 0x8329…e99b     0.20 blk/s   47.8 tx/s    5.0 Mgas/s      0+    6 Qed Ancient:#5463731 LI:#13271384    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:55 UTC Syncing #13271378 0x4214…7c7a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463732 LI:#13271384    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:46:56 UTC Syncing #13271378 0x4214…7c7a     0.20 blk/s   42.2 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#5463732 LI:#13271384    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:47:28 UTC  Ancient:#5463739 AB:#5467004    6/25 peers      3 MiB chain  280 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:48:06 UTC Imported #13271388 0x6052…4c74 (104 txs, 6.75 Mgas, 1872 ms, 33.70 KiB)
2021-09-21 20:48:10 UTC  Ancient:#5467004 AB:#5467004    6/25 peers     75 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:48:10 UTC  Ancient:#5467004 AB:#5467004    6/25 peers     75 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:48:10 UTC  Ancient:#5467004 AB:#5467004    6/25 peers   744 bytes chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:48:23 UTC Imported #13271389 0xe678…3353 (90 txs, 9.17 Mgas, 10027 ms, 52.55 KiB)
2021-09-21 20:48:39 UTC  Ancient:#5467004 AB:#5467004    2/25 peers    760 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
