2021-09-21 20:39:05 UTC Syncing #13271336 0xefa7…a7f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463680 LI:#13271341    7/25 peers    356 KiB chain  846 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:05 UTC Syncing #13271336 0xefa7…a7f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463680 LI:#13271341    7/25 peers    356 KiB chain  846 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:24 UTC Syncing #13271339 0xbc27…0502     0.15 blk/s   25.5 tx/s    2.2 Mgas/s      0+    4 Qed Ancient:#5463687 LI:#13271344    6/25 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:29 UTC Syncing #13271340 0x3774…71df     0.20 blk/s   38.8 tx/s    2.7 Mgas/s      0+    4 Qed Ancient:#5463688 LI:#13271344    6/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:34 UTC Syncing #13271340 0x3774…71df     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463688 LI:#13271345    6/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:39 UTC Syncing #13271340 0x3774…71df     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463688 LI:#13271345    5/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:49 UTC Syncing #13271341 0x3b91…2a36     0.10 blk/s   14.9 tx/s    1.8 Mgas/s      0+    4 Qed Ancient:#5463689 LI:#13271346    5/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:54 UTC Syncing #13271341 0x3b91…2a36     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463689 LI:#13271346    6/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:39:59 UTC Syncing #13271342 0xaa3d…105a     0.20 blk/s   66.0 tx/s    4.8 Mgas/s      0+    4 Qed Ancient:#5463690 LI:#13271312    8/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:04 UTC Syncing #13271342 0xaa3d…105a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463690 LI:#13271348    7/25 peers    638 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:14 UTC Syncing #13271343 0xf89a…5da3     0.20 blk/s    5.2 tx/s    0.4 Mgas/s      0+    5 Qed Ancient:#5463691 LI:#13271348    7/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:14 UTC Syncing #13271343 0xf89a…5da3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463691 LI:#13271348    7/25 peers    639 KiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:19 UTC Syncing #13271343 0xf89a…5da3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463691 LI:#13271349    7/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:24 UTC Syncing #13271343 0xf89a…5da3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463691 LI:#13271349   10/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:40:34 UTC Syncing #13271344 0x873d…2371     0.20 blk/s   34.2 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#5463692 LI:#13271349   10/25 peers    639 KiB chain  957 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
