2021-09-21 20:49:04 UTC Syncing #13271389 0xe678…3353     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5467004 LI:#13271395    5/25 peers    760 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:10 UTC Syncing #13271390 0x9d1d…9251     0.20 blk/s   30.8 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5467005 LI:#13271396    8/25 peers    821 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:16 UTC Syncing #13271391 0x69f5…608f     0.20 blk/s   12.4 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#5467006 LI:#13271397    8/25 peers    822 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:21 UTC Syncing #13271391 0x69f5…608f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5467006 LI:#13271397   10/25 peers    822 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:26 UTC Syncing #13271391 0x69f5…608f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5467006 LI:#13271397    7/25 peers    822 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:31 UTC Syncing #13271391 0x69f5…608f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5467006 LI:#13271398   10/25 peers    822 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:34 UTC Syncing #13271392 0x990a…5af5     0.20 blk/s   69.6 tx/s    5.1 Mgas/s      0+    5 Qed Ancient:#5467007 LI:#13271398    9/25 peers    892 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:41 UTC Syncing #13271393 0xdf44…2889     0.20 blk/s   12.4 tx/s    1.0 Mgas/s      0+    4 Qed Ancient:#5467008 LI:#13271398    9/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:49:43 UTC Could not revert to previous block, last: 13271396 (0x7db1…b6c1)
2021-09-21 20:49:44 UTC Syncing #13271393 0xdf44…2889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5467008 LI:#13271393   10/25 peers    892 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:26 UTC Imported #13271400 0x0c18…5f6e (85 txs, 9.54 Mgas, 2740 ms, 43.08 KiB)
2021-09-21 20:50:26 UTC  Ancient:#5467014 AB:#5470413    4/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:26 UTC  Ancient:#5468761 AB:#5470413    4/25 peers    817 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:26 UTC  Ancient:#5468761 AB:#5470413    4/25 peers    817 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:44 UTC Syncing #13271400 0x0c18…5f6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5469762 LI:#13271405    8/25 peers      1 MiB chain  680 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:50 UTC Syncing #13271400 0x0c18…5f6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5469762 LI:#13271405   11/25 peers      1 MiB chain  680 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:50:56 UTC Syncing #13271401 0xeb8a…954b     0.20 blk/s   30.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#5469763 LI:#13271406   10/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:00 UTC Syncing #13271402 0x7603…bf1c     0.20 blk/s    5.0 tx/s    0.3 Mgas/s      0+    4 Qed Ancient:#5469764 LI:#13271407   11/25 peers      3 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:04 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5469764 LI:#13271408    8/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:10 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5469764 LI:#13271410    7/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:14 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5469764 LI:#13271410    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:20 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5469764 LI:#13271410    4/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:24 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469764 LI:#13271411    3/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:29 UTC Syncing #13271402 0x7603…bf1c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469764 LI:#13271411    3/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
