2021-07-28 12:36:46 UTC Syncing #12914473 0x8a3b…ad45     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6987445 LI:#12914479   23/25 peers      5 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:36:51 UTC Syncing #12914474 0x55cf…c548     0.20 blk/s   27.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6987446 LI:#12914480   23/25 peers      5 MiB chain  934 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:36:56 UTC Syncing #12914474 0x55cf…c548     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6987446 LI:#12914480   24/25 peers      5 MiB chain  934 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:01 UTC Syncing #12914474 0x55cf…c548     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6987446 LI:#12914482   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:06 UTC Syncing #12914475 0xdf06…45f6     0.20 blk/s   34.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6987447 LI:#12914483   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:11 UTC Syncing #12914475 0xdf06…45f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6987447 LI:#12914483   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:16 UTC Syncing #12914476 0x4da1…0efc     0.20 blk/s   23.8 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6987448 LI:#12914483   24/25 peers      5 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:21 UTC Syncing #12914476 0x4da1…0efc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#6987448 LI:#12914483   23/25 peers      5 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:26 UTC Syncing #12914477 0x55b6…1a98     0.20 blk/s   46.8 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6987449 LI:#12914484   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:31 UTC Syncing #12914477 0x55b6…1a98     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#6987449 LI:#12914484   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:36 UTC Syncing #12914478 0x0fa5…30a1     0.20 blk/s   28.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6987450 LI:#12914484   24/25 peers      5 MiB chain  808 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:41 UTC Syncing #12914479 0x90da…3622     0.20 blk/s   38.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6987451 LI:#12914485   24/25 peers      5 MiB chain  816 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:46 UTC Syncing #12914479 0x90da…3622     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6987451 LI:#12914485   25/25 peers      5 MiB chain  816 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:51 UTC Syncing #12914480 0x2efe…24d3     0.20 blk/s   31.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   25/25 peers      7 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:56 UTC Syncing #12914480 0x2efe…24d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   26/50 peers     11 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:01 UTC Syncing #12914480 0x2efe…24d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   27/50 peers     10 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:06 UTC Syncing #12914481 0x8eea…f918     0.20 blk/s   41.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987453 LI:#12914486   25/25 peers      9 MiB chain  824 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:21 UTC Syncing #12914483 0x4f95…26ab     0.13 blk/s   10.8 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#6987456 LI:#12914488   25/25 peers      4 MiB chain  827 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:26 UTC Syncing #12914484 0xcf38…3baa     0.20 blk/s   40.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987457 LI:#12914489   25/25 peers      4 MiB chain  830 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:31 UTC Syncing #12914484 0xcf38…3baa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987457 LI:#12914489   26/50 peers      4 MiB chain  830 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
