2021-07-28 12:37:36 UTC Syncing #12914478 0x0fa5…30a1     0.20 blk/s   28.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6987450 LI:#12914484   24/25 peers      5 MiB chain  808 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:41 UTC Syncing #12914479 0x90da…3622     0.20 blk/s   38.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6987451 LI:#12914485   24/25 peers      5 MiB chain  816 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:46 UTC Syncing #12914479 0x90da…3622     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6987451 LI:#12914485   25/25 peers      5 MiB chain  816 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:51 UTC Syncing #12914480 0x2efe…24d3     0.20 blk/s   31.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   25/25 peers      7 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:37:56 UTC Syncing #12914480 0x2efe…24d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   26/50 peers     11 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:01 UTC Syncing #12914480 0x2efe…24d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987452 LI:#12914485   27/50 peers     10 MiB chain  628 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:06 UTC Syncing #12914481 0x8eea…f918     0.20 blk/s   41.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987453 LI:#12914486   25/25 peers      9 MiB chain  824 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:21 UTC Syncing #12914483 0x4f95…26ab     0.13 blk/s   10.8 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#6987456 LI:#12914488   25/25 peers      4 MiB chain  827 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:26 UTC Syncing #12914484 0xcf38…3baa     0.20 blk/s   40.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987457 LI:#12914489   25/25 peers      4 MiB chain  830 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:38:31 UTC Syncing #12914484 0xcf38…3baa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987457 LI:#12914489   26/50 peers      4 MiB chain  830 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:01 UTC  Ancient:#6987461 AB:#6990827   25/25 peers      5 MiB chain  401 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:31 UTC  Ancient:#6987462 AB:#6990827   23/25 peers      5 MiB chain  434 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:41 UTC Syncing #12914489 0x91b3…8c34     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987462 LI:#12914493   23/25 peers      5 MiB chain  815 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:46 UTC Syncing #12914490 0xbfbc…b8ed     0.20 blk/s   48.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6987464 LI:#12914494   22/25 peers      5 MiB chain  799 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:51 UTC Syncing #12914490 0xbfbc…b8ed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6987464 LI:#12914495   25/25 peers      5 MiB chain  969 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:39:56 UTC Syncing #12914490 0xbfbc…b8ed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6987464 LI:#12914497   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:01 UTC Syncing #12914491 0x2649…0ec5     0.20 blk/s   39.2 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6987465 LI:#12914497   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:06 UTC Syncing #12914491 0x2649…0ec5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#6987465 LI:#12914497   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:11 UTC Syncing #12914492 0x6e9d…dc97     0.20 blk/s   50.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6987466 LI:#12914498   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:16 UTC Syncing #12914493 0x1d57…5611     0.40 blk/s   66.6 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#6987468 LI:#12914498   24/25 peers      5 MiB chain  783 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:21 UTC Syncing #12914493 0x1d57…5611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6987468 LI:#12914498   22/25 peers      5 MiB chain  783 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:40:51 UTC  Ancient:#6987473 AB:#6990827   23/25 peers      5 MiB chain  399 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:41:21 UTC  Ancient:#6987478 AB:#6990827   24/25 peers      5 MiB chain  294 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:41:27 UTC Imported #12914504 0x05e7…d292 (298 txs, 14.98 Mgas, 2996 ms, 57.80 KiB)
2021-07-28 12:41:51 UTC  Ancient:#6990809 AB:#6990827   25/25 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:42:21 UTC  Ancient:#6990830 AB:#6991595   25/25 peers      3 MiB chain  761 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:42:51 UTC  Ancient:#6990833 AB:#6992744   24/25 peers      3 MiB chain  429 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:43:04 UTC Imported #12914512 0x9133…e771 (221 txs, 15.00 Mgas, 5389 ms, 64.61 KiB)
