2021-05-09 11:56:43 UTC Syncing #12399842 0xf29c…7fb7     0.20 blk/s   37.0 tx/s    2.9 Mgas/s      0+  177 Qed Ancient:#12159105 LI:#12400018   37/50 peers     91 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:56:48 UTC Syncing #12399842 0xf29c…7fb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12159105 LI:#12400018   37/50 peers     91 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:56:58 UTC Syncing #12399844 0x8c0f…a0d5     0.21 blk/s   56.2 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12159174 LI:#12400017   38/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:57:10 UTC Could not revert to previous block, last: 12400017 (0x2558…a3ab)
2021-05-09 11:57:29 UTC Syncing #12399844 0x8c0f…a0d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12160828 LI:#12399843   30/50 peers   728 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:57:29 UTC Syncing #12399844 0x8c0f…a0d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12160828 LI:#12399843   30/50 peers   728 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:57:29 UTC Syncing #12399844 0x8c0f…a0d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12160828 LI:#12399843   30/50 peers    0 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:58:21 UTC Syncing #12399845 0x6657…6972     0.02 blk/s    4.0 tx/s    0.3 Mgas/s      0+  175 Qed Ancient:#12163240 LI:#12399841   19/25 peers    0 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:06 UTC Syncing #12399846 0x331f…c607     0.02 blk/s   10.1 tx/s    0.3 Mgas/s      0+  174 Qed Ancient:#12163966 LI:#12399834   18/25 peers    0 bytes chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:12 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12164382 LI:#12399834   19/25 peers     36 KiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:32 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165432 LI:#12400029   12/25 peers    0 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:36 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400029   12/25 peers   728 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:36 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400029   12/25 peers   728 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:36 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400029   12/25 peers    0 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:38 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12165892 LI:#12400029   12/25 peers     74 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:43 UTC Syncing #12399846 0x331f…c607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400030   11/25 peers     74 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:48 UTC Syncing #12399848 0x9524…75c1     0.40 blk/s   57.6 tx/s    3.0 Mgas/s      0+  184 Qed Ancient:#12165892 LI:#12400030   12/25 peers    430 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:53 UTC Syncing #12399848 0x9524…75c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12165892 LI:#12400031   16/25 peers    430 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:59:58 UTC Syncing #12399849 0xc775…603d     0.20 blk/s   51.0 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400033   18/25 peers    465 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 12:00:03 UTC Syncing #12399850 0xaeb2…8bc5     0.20 blk/s   45.8 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400034   19/25 peers    466 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 12:00:08 UTC Syncing #12399850 0xaeb2…8bc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12165892 LI:#12400034   20/25 peers    466 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 12:00:13 UTC Syncing #12399851 0x8528…a266     0.20 blk/s   50.2 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12165892 LI:#12400034   20/25 peers    536 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 12:00:18 UTC Syncing #12399851 0x8528…a266     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12165892 LI:#12400034   22/25 peers    536 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 12:00:23 UTC Syncing #12399852 0xc16f…d575     0.20 blk/s   63.4 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12165892 LI:#12400035   23/25 peers    537 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
