2021-09-22 04:23:41 UTC Syncing #13273406 0x998e…b3fc     0.20 blk/s   31.2 tx/s    2.3 Mgas/s      0+    6 Qed Ancient:#5705824 LI:#13273411   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:23:46 UTC Syncing #13273408 0xde6f…6d6b     0.60 blk/s   49.8 tx/s    4.1 Mgas/s      0+    4 Qed Ancient:#5705831 LI:#13273412   16/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:24:20 UTC  Ancient:#5705836 AB:#5709128   17/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:24:34 UTC Imported #13273414 0xe435…df0b (31 txs, 2.39 Mgas, 946 ms, 11.07 KiB)
2021-09-22 04:24:44 UTC Imported #13273415 0xe133…e66a (115 txs, 10.90 Mgas, 5315 ms, 57.84 KiB)
2021-09-22 04:24:52 UTC  Ancient:#5709128 AB:#5709128   14/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:25:22 UTC  Ancient:#5709128 AB:#5711513   14/25 peers      2 MiB chain  160 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:25:55 UTC Syncing #13273416 0x0221…0705     0.04 blk/s   12.3 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#5709129 LI:#13273421   13/25 peers      2 MiB chain  606 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:01 UTC Syncing #13273417 0x8a0d…82e1     0.09 blk/s    9.3 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#5709130 LI:#13273423   15/25 peers      2 MiB chain  806 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:01 UTC Syncing #13273417 0x8a0d…82e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5709389 LI:#13273423   15/25 peers      5 MiB chain  806 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:17 UTC Syncing #13273418 0x1983…8e99     0.10 blk/s    2.4 tx/s    0.2 Mgas/s      0+    6 Qed Ancient:#5709391 LI:#13273425   13/25 peers      5 MiB chain  800 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:17 UTC Syncing #13273418 0x1983…8e99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5709391 LI:#13273425   13/25 peers      5 MiB chain  800 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:21 UTC Syncing #13273418 0x1983…8e99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5709391 LI:#13273428   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:28 UTC Syncing #13273418 0x1983…8e99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5709391 LI:#13273428   15/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:33 UTC Syncing #13273418 0x1983…8e99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5709391 LI:#13273429   15/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:43 UTC Syncing #13273420 0x88fc…c56d     0.20 blk/s   34.1 tx/s    2.8 Mgas/s      0+    8 Qed Ancient:#5709393 LI:#13273429   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:43 UTC Syncing #13273419 0x23da…3a60     0.20 blk/s   63.2 tx/s    5.1 Mgas/s      0+    9 Qed Ancient:#5709392 LI:#13273429   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:26:49 UTC Syncing #13273421 0x1168…6c86     0.40 blk/s   13.2 tx/s    1.3 Mgas/s      0+    7 Qed Ancient:#5709394 LI:#13273429   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:08 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709394 LI:#13273430   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:08 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709394 LI:#13273432   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:08 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5709394 LI:#13273432   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:11 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5709394 LI:#13273432   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
