2021-09-22 04:30:08 UTC Syncing #13273430 0x34fd…c29c     0.21 blk/s   59.9 tx/s    4.7 Mgas/s      0+   12 Qed Ancient:#5710341 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:08 UTC Syncing #13273430 0x34fd…c29c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710341 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:17 UTC Syncing #13273431 0x188d…a3d8     0.41 blk/s   42.7 tx/s    6.3 Mgas/s      0+   12 Qed Ancient:#5710342 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:17 UTC Syncing #13273432 0xe78c…deb7     0.16 blk/s    9.3 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#5710343 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:25 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710343 LI:#13273445    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:26 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5710343 LI:#13273446    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:31 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5710343 LI:#13273446    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:51 UTC Syncing #13273433 0x5048…8d19     0.20 blk/s  133.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5710344 LI:#13273446    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:52 UTC Syncing #13273433 0x5048…8d19     0.10 blk/s   66.7 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#5710344 LI:#13273447    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:52 UTC Syncing #13273433 0x5048…8d19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5710344 LI:#13273449    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:08 UTC Syncing #13273434 0x7413…21af     0.07 blk/s   14.3 tx/s    1.5 Mgas/s      0+   15 Qed Ancient:#5710345 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:08 UTC Syncing #13273434 0x7413…21af     0.23 blk/s   47.4 tx/s    5.1 Mgas/s      0+   15 Qed Ancient:#5710345 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:08 UTC Syncing #13273434 0x7413…21af     0.11 blk/s   22.0 tx/s    2.4 Mgas/s      0+   15 Qed Ancient:#5710345 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:15 UTC Syncing #13273434 0x7413…21af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5710345 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:16 UTC Syncing #13273434 0x7413…21af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5710345 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:28 UTC Syncing #13273435 0x0dfa…8859     0.10 blk/s   33.3 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#5710346 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:28 UTC Syncing #13273435 0x0dfa…8859     0.20 blk/s   66.6 tx/s    5.9 Mgas/s      0+   14 Qed Ancient:#5710346 LI:#13273449    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:31 UTC Syncing #13273435 0x0dfa…8859     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5710346 LI:#13273452    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:36 UTC Syncing #13273435 0x0dfa…8859     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5710346 LI:#13273453    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:41 UTC Syncing #13273435 0x0dfa…8859     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5710346 LI:#13273454    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:48 UTC Syncing #13273436 0x4443…f85f     0.20 blk/s   45.6 tx/s    5.8 Mgas/s      0+   18 Qed Ancient:#5710347 LI:#13273454    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:31:55 UTC Syncing #13273437 0x9df6…f6a8     0.20 blk/s   41.2 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#5710348 LI:#13273454    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:02 UTC Syncing #13273439 0xd5f7…62b6     0.40 blk/s   63.4 tx/s    5.4 Mgas/s      0+   15 Qed Ancient:#5710350 LI:#13273454    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:02 UTC Syncing #13273441 0x45f3…c716     0.40 blk/s   44.4 tx/s    4.8 Mgas/s      0+   13 Qed Ancient:#5710352 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:09 UTC Syncing #13273441 0x45f3…c716     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5710352 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:15 UTC Syncing #13273444 0x9997…63f1     0.60 blk/s   83.6 tx/s    8.3 Mgas/s      0+   11 Qed Ancient:#5710355 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:25 UTC Syncing #13273445 0x76db…b5c6     0.20 blk/s   36.2 tx/s    3.3 Mgas/s      0+    9 Qed Ancient:#5710356 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:25 UTC Syncing #13273446 0xffa2…1049     0.30 blk/s   27.4 tx/s    2.5 Mgas/s      0+    7 Qed Ancient:#5710358 LI:#13273454    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:33 UTC Syncing #13273446 0xffa2…1049     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5710358 LI:#13273455    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:33 UTC Syncing #13273449 0x29df…0635     0.30 blk/s   42.6 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273455    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:41 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273455    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:41 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273456    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:46 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5710361 LI:#13273457    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:51 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:56 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:01 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:06 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:11 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:17 UTC Syncing #13273450 0x4636…21ee     0.20 blk/s   82.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5710364 LI:#13273459   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
