2021-10-02 04:46:41 UTC Syncing #13337793 0xe2c3…5ff3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321661 LI:#13337817   34/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:46 UTC Syncing #13337794 0x186c…3dc5     0.20 blk/s   16.8 tx/s    1.6 Mgas/s      0+   24 Qed Ancient:#11321662 LI:#13337819   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:51 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321662 LI:#13337819   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:46:56 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321662 LI:#13337820   38/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:01 UTC Syncing #13337794 0x186c…3dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321662 LI:#13337820   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:07 UTC Syncing #13337795 0xe648…5b4b     0.16 blk/s   52.0 tx/s    4.8 Mgas/s      0+   25 Qed Ancient:#11321663 LI:#13337820   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337796 0xd9e0…1bb9     0.09 blk/s   15.0 tx/s    1.2 Mgas/s      0+   24 Qed Ancient:#11321701 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337795 0xe648…5b4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321663 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:22 UTC Syncing #13337796 0xd9e0…1bb9     0.25 blk/s   39.2 tx/s    3.1 Mgas/s      0+   24 Qed Ancient:#11321701 LI:#13337820   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:26 UTC Syncing #13337796 0xd9e0…1bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321702 LI:#13337821   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:40 UTC Syncing #13337796 0xd9e0…1bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321702 LI:#13337821   36/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:40 UTC Syncing #13337796 0xd9e0…1bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321702 LI:#13337821   36/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:47:41 UTC Syncing #13337796 0xd9e0…1bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11321702 LI:#13337823   36/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
