2021-10-02 04:41:51 UTC Syncing #13337771 0xd9c9…3121     0.20 blk/s   22.6 tx/s    2.1 Mgas/s      0+   22 Qed Ancient:#11321637 LI:#13337794   25/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:41:56 UTC Syncing #13337771 0xd9c9…3121     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321637 LI:#13337794   25/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:01 UTC Syncing #13337771 0xd9c9…3121     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321637 LI:#13337794   26/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:06 UTC Syncing #13337772 0x4fd8…ad76     0.20 blk/s   31.4 tx/s    3.3 Mgas/s      0+   21 Qed Ancient:#11321638 LI:#13337794   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:11 UTC Syncing #13337772 0x4fd8…ad76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11321638 LI:#13337794   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:16 UTC Syncing #13337772 0x4fd8…ad76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321638 LI:#13337796   27/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:21 UTC Syncing #13337772 0x4fd8…ad76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321638 LI:#13337796   27/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:26 UTC Syncing #13337773 0x4e11…c09c     0.20 blk/s   70.8 tx/s    5.8 Mgas/s      0+   22 Qed Ancient:#11321639 LI:#13337796   27/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:31 UTC Syncing #13337773 0x4e11…c09c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321639 LI:#13337797   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:36 UTC Syncing #13337773 0x4e11…c09c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321639 LI:#13337798   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:41 UTC Syncing #13337774 0x620d…6cc2     0.20 blk/s   37.0 tx/s    2.9 Mgas/s      0+   24 Qed Ancient:#11321641 LI:#13337799   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:46 UTC Syncing #13337775 0xd954…2f0f     0.20 blk/s    7.6 tx/s    0.6 Mgas/s      0+   23 Qed Ancient:#11321642 LI:#13337799   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:51 UTC Syncing #13337775 0xd954…2f0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321642 LI:#13337800   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:42:56 UTC Syncing #13337775 0xd954…2f0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321642 LI:#13337801   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:43:01 UTC Syncing #13337776 0x78cd…87cf     0.20 blk/s   36.4 tx/s    3.6 Mgas/s      0+   24 Qed Ancient:#11321643 LI:#13337801   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:43:06 UTC Syncing #13337776 0x78cd…87cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11321643 LI:#13337803   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
