2021-10-02 04:56:51 UTC Syncing #13337853 0x3c26…1fca     0.20 blk/s   13.0 tx/s    2.0 Mgas/s      0+    5 Qed Ancient:#11323914 LI:#13337859   34/50 peers      2 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:56:56 UTC Syncing #13337853 0x3c26…1fca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323914 LI:#13337859   34/50 peers      2 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:01 UTC Syncing #13337854 0xf78d…4fb6     0.20 blk/s   27.4 tx/s    2.8 Mgas/s      0+    4 Qed Ancient:#11323915 LI:#13337859   33/50 peers      4 MiB chain  705 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:06 UTC Syncing #13337854 0xf78d…4fb6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11323915 LI:#13337861   33/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:11 UTC Syncing #13337856 0x1dbe…54d7     0.40 blk/s   37.2 tx/s    3.9 Mgas/s      0+    4 Qed Ancient:#11323917 LI:#13337861   33/50 peers      4 MiB chain  473 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:16 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323917 LI:#13337862   34/50 peers      4 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:21 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323917 LI:#13337862   35/50 peers      4 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:26 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11323917 LI:#13337863   35/50 peers      4 MiB chain  841 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:31 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11323917 LI:#13337863   37/50 peers      4 MiB chain  841 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:36 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11323917 LI:#13337863   36/50 peers      4 MiB chain  841 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:41 UTC Syncing #13337856 0x1dbe…54d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11323917 LI:#13337864   34/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:47 UTC Syncing #13337857 0x9251…3e86     0.20 blk/s   66.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11323918 LI:#13337865   33/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:51 UTC Syncing #13337859 0xdde1…241f     0.40 blk/s   11.0 tx/s    1.1 Mgas/s      0+    6 Qed Ancient:#11323920 LI:#13337866   35/50 peers      4 MiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:57:56 UTC Syncing #13337859 0xdde1…241f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11323920 LI:#13337866   33/50 peers      4 MiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:01 UTC Syncing #13337859 0xdde1…241f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11323920 LI:#13337867   33/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:07 UTC Syncing #13337860 0x7777…d7d9     0.20 blk/s   43.0 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#11323921 LI:#13337867   34/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:11 UTC Syncing #13337860 0x7777…d7d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11323921 LI:#13337868   35/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:16 UTC Syncing #13337861 0x9b89…0fe3     0.20 blk/s   11.2 tx/s    1.7 Mgas/s      0+    6 Qed Ancient:#11323922 LI:#13337868   34/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:21 UTC Syncing #13337862 0x73fa…abe9     0.20 blk/s   42.6 tx/s    2.6 Mgas/s      0+    5 Qed Ancient:#11323923 LI:#13337868   34/50 peers      4 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:26 UTC Syncing #13337862 0x73fa…abe9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323923 LI:#13337868   36/50 peers      4 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:31 UTC Syncing #13337863 0x8e38…f712     0.20 blk/s   19.0 tx/s    1.9 Mgas/s      0+    4 Qed Ancient:#11323924 LI:#13337868   34/50 peers      5 MiB chain  673 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:36 UTC Syncing #13337863 0x8e38…f712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11323924 LI:#13337868   35/50 peers      5 MiB chain  673 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:41 UTC Syncing #13337863 0x8e38…f712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11323924 LI:#13337868   34/50 peers      5 MiB chain  673 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:58:46 UTC Syncing #13337864 0xf4b1…38a8     0.20 blk/s   32.4 tx/s    4.1 Mgas/s      0+    4 Qed Ancient:#11323925 LI:#13337869   34/50 peers      5 MiB chain 1012 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:11 UTC Syncing #13337866 0x5cc3…7369     0.08 blk/s    5.8 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#11323927 LI:#13337871   33/50 peers      5 MiB chain  999 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:16 UTC Syncing #13337867 0x5c6c…90c3     0.20 blk/s   43.8 tx/s    4.6 Mgas/s      0+    4 Qed Ancient:#11323928 LI:#13337872   34/50 peers      5 MiB chain  890 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:21 UTC Syncing #13337867 0x5c6c…90c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11323928 LI:#13337872   34/50 peers      5 MiB chain  890 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:26 UTC Syncing #13337867 0x5c6c…90c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11323928 LI:#13337872   35/50 peers      5 MiB chain  890 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:31 UTC Syncing #13337867 0x5c6c…90c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323928 LI:#13337873   33/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:53 UTC Syncing #13337868 0x55e5…0279     0.10 blk/s    7.0 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#11323929 LI:#13337873   33/50 peers      5 MiB chain  680 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:53 UTC Syncing #13337868 0x55e5…0279     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11323929 LI:#13337873   33/50 peers      5 MiB chain  680 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:53 UTC Syncing #13337868 0x55e5…0279     0.20 blk/s   14.0 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#11323929 LI:#13337873   33/50 peers      5 MiB chain  680 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:59:56 UTC Syncing #13337868 0x55e5…0279     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11323929 LI:#13337876   32/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:01 UTC Syncing #13337868 0x55e5…0279     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11323929 LI:#13337876   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:06 UTC Syncing #13337869 0x2b93…fd31     0.20 blk/s   66.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11323930 LI:#13337878   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:11 UTC Syncing #13337869 0x2b93…fd31     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11323930 LI:#13337879   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:16 UTC Syncing #13337869 0x2b93…fd31     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11323930 LI:#13337879   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:21 UTC Syncing #13337869 0x2b93…fd31     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11323930 LI:#13337879   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:26 UTC Syncing #13337870 0x3007…a246     0.20 blk/s   17.8 tx/s    2.6 Mgas/s      0+    8 Qed Ancient:#11323931 LI:#13337879   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:31 UTC Syncing #13337870 0x3007…a246     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11323931 LI:#13337879   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:36 UTC Syncing #13337872 0x3a19…3ad5     0.40 blk/s   45.6 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#11323933 LI:#13337879   28/50 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:00:41 UTC Syncing #13337874 0xbd54…1b46     0.40 blk/s   50.4 tx/s    5.1 Mgas/s      0+    4 Qed Ancient:#11323935 LI:#13337879   28/50 peers      5 MiB chain  642 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:01:02 UTC Imported #13337879 0x7458…cfa2 (59 txs, 28.81 Mgas, 3258 ms, 75.40 KiB)
