2021-10-02 05:01:56 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324922 LI:#13337883   28/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:01 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324922 LI:#13337883   27/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:06 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324922 LI:#13337883   27/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:11 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324922 LI:#13337884   30/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:16 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324922 LI:#13337884   30/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:21 UTC Syncing #13337879 0x7458…cfa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324922 LI:#13337884   32/50 peers    111 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:26 UTC Syncing #13337880 0x3da8…8ed2     0.20 blk/s   82.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11324923 LI:#13337884   30/50 peers    216 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:31 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324923 LI:#13337884   32/50 peers    216 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:36 UTC Syncing #13337880 0x3da8…8ed2     0.20 blk/s   79.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11324924 LI:#13337885   29/50 peers    217 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:41 UTC Syncing #13337880 0x3da8…8ed2     0.20 blk/s   81.8 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11324925 LI:#13337885   28/50 peers    629 KiB chain  979 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:48 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11324925 LI:#13337885   31/50 peers    629 KiB chain  979 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:55 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324925 LI:#13337886   31/50 peers    629 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:02:56 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324925 LI:#13337886   27/50 peers    629 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:01 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324925 LI:#13337887   27/50 peers    629 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:06 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324925 LI:#13337887   27/50 peers    629 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:11 UTC Syncing #13337880 0x3da8…8ed2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11324925 LI:#13337887   30/50 peers    629 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:15 UTC Reorg to #13337881 0xa98b…6732 (0x3da8…8ed2 #13337879 0x7458…cfa2 0xe59b…24bc)
2021-10-02 05:03:16 UTC Syncing #13337881 0xa98b…6732     0.20 blk/s   53.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11324926 LI:#13337887   30/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:21 UTC Syncing #13337881 0xa98b…6732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324926 LI:#13337887   29/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:26 UTC Syncing #13337882 0x5c1d…f770     0.20 blk/s   12.8 tx/s    1.9 Mgas/s      0+    4 Qed Ancient:#11324927 LI:#13337887   29/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:31 UTC Syncing #13337882 0x5c1d…f770     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324927 LI:#13337888   28/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:36 UTC Syncing #13337882 0x5c1d…f770     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324927 LI:#13337888   29/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:41 UTC Syncing #13337882 0x5c1d…f770     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11324927 LI:#13337888   28/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:46 UTC Syncing #13337883 0xe042…338c     0.20 blk/s   41.4 tx/s    2.6 Mgas/s      0+    4 Qed Ancient:#11324928 LI:#13337888   29/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:03:51 UTC Syncing #13337883 0xe042…338c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11324928 LI:#13337888   28/50 peers    769 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:04:11 UTC Syncing #13337884 0x3204…d214     0.05 blk/s    9.7 tx/s    0.8 Mgas/s      0+    4 Qed Ancient:#11324930 LI:#13337889   30/50 peers    770 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:04:16 UTC Syncing #13337885 0xb83b…fd34     0.20 blk/s   62.4 tx/s    5.0 Mgas/s      0+    4 Qed Ancient:#11324931 LI:#13337890   30/50 peers    770 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:04:26 UTC Syncing #13337886 0xdddc…70df     0.10 blk/s   12.0 tx/s    1.0 Mgas/s      0+    5 Qed Ancient:#11324932 LI:#13337891   29/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:04:31 UTC Syncing #13337887 0x1a34…d4b7     0.20 blk/s   48.0 tx/s    3.1 Mgas/s      0+    4 Qed Ancient:#11324933 LI:#13337891   27/50 peers      1 MiB chain  871 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:04:51 UTC Reorg to #13337891 0x2c9b…cfd1 (0xf2ca…1298 #13337889 0x27a9…388a 0xe2a4…5819)
2021-10-02 05:04:51 UTC Imported #13337891 0x2c9b…cfd1 (40 txs, 5.05 Mgas, 735 ms, 27.28 KiB)
2021-10-02 05:05:22 UTC  Ancient:#11326064 AB:#11328299   28/50 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:22 UTC  Ancient:#11326064 AB:#11328299   28/50 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:22 UTC  Ancient:#11326064 AB:#11328299   28/50 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:38 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11326093 LI:#13337896   22/25 peers      8 MiB chain  768 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:41 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11326093 LI:#13337896   22/25 peers      8 MiB chain  768 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:51 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11326093 LI:#13337897   21/25 peers    639 KiB chain  895 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:53 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11326093 LI:#13337897   21/25 peers    639 KiB chain  895 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:05:56 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11326093 LI:#13337897   21/25 peers    639 KiB chain  895 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:01 UTC Syncing #13337891 0x2c9b…cfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11326093 LI:#13337898   24/25 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:09 UTC Syncing #13337892 0x2d8a…4d29     0.20 blk/s   56.0 tx/s    4.8 Mgas/s      0+    5 Qed Ancient:#11326094 LI:#13337898   24/25 peers    640 KiB chain  784 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:11 UTC Syncing #13337892 0x2d8a…4d29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11326094 LI:#13337898   22/25 peers    640 KiB chain  784 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:16 UTC Syncing #13337892 0x2d8a…4d29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11326094 LI:#13337898   20/25 peers    640 KiB chain  784 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:21 UTC Syncing #13337892 0x2d8a…4d29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11326094 LI:#13337900   22/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:26 UTC Syncing #13337892 0x2d8a…4d29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11326094 LI:#13337900   25/25 peers    830 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:31 UTC Syncing #13337893 0x5d5b…ffc2     0.20 blk/s   39.6 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#11326095 LI:#13337900   25/25 peers      3 MiB chain 1017 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:36 UTC Syncing #13337894 0xd404…c376     0.20 blk/s   11.0 tx/s    0.8 Mgas/s      0+    5 Qed Ancient:#11326096 LI:#13337900   21/25 peers      3 MiB chain  896 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:06:41 UTC Syncing #13337895 0x8926…47a0     0.20 blk/s   14.2 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#11326097 LI:#13337901   20/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:07:06 UTC Syncing #13337895 0x8926…47a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11326097 LI:#13337902   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:07:14 UTC Syncing #13337895 0x8926…47a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11326097 LI:#13337902   22/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
