2021-07-28 16:05:07 UTC Imported #12915360 0xff0a…11f1 (219 txs, 14.99 Mgas, 17213 ms, 86.01 KiB)
2021-07-28 16:05:22 UTC  Ancient:#7109384 AB:#7112695   35/50 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:46 UTC Syncing #12915361 0x32fd…2d8a     0.04 blk/s    8.9 tx/s    0.6 Mgas/s      0+    5 Qed Ancient:#7109809 LI:#12915366   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:48 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109915 LI:#12915366   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:51 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109916 LI:#12915367   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:05:56 UTC Syncing #12915361 0x32fd…2d8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109916 LI:#12915367   36/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:01 UTC Syncing #12915362 0xb09f…f87e     0.20 blk/s   55.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109917 LI:#12915367   36/50 peers      5 MiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:06 UTC Syncing #12915362 0xb09f…f87e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109917 LI:#12915368   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:11 UTC Syncing #12915363 0x2b41…df68     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109919 LI:#12915368   35/50 peers      5 MiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:21 UTC Syncing #12915364 0xf383…7962     0.10 blk/s   16.8 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#7109920 LI:#12915369   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:26 UTC Syncing #12915365 0x6f89…5ede     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109921 LI:#12915369   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:31 UTC Syncing #12915366 0x41f3…f9d6     0.20 blk/s   28.8 tx/s    2.9 Mgas/s      0+    4 Qed Ancient:#7109922 LI:#12915370   33/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:36 UTC Syncing #12915366 0x41f3…f9d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7109922 LI:#12915370   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:41 UTC Syncing #12915367 0x9e34…8c60     0.20 blk/s   32.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109923 LI:#12915371   34/50 peers      5 MiB chain 1009 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:51 UTC Syncing #12915368 0x2cbd…1126     0.10 blk/s   18.5 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#7109924 LI:#12915373   32/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:06:56 UTC Syncing #12915368 0x2cbd…1126     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7109924 LI:#12915373   31/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:07:01 UTC Syncing #12915368 0x2cbd…1126     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7109924 LI:#12915374   33/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:07:06 UTC Syncing #12915369 0x3274…a191     0.20 blk/s   40.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7109925 LI:#12915374   31/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:07:11 UTC Syncing #12915369 0x3274…a191     0.20 blk/s   39.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7109926 LI:#12915374   31/50 peers      5 MiB chain  752 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:07:16 UTC Syncing #12915369 0x3274…a191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7109926 LI:#12915374   32/50 peers      5 MiB chain  752 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:07:20 UTC Reorg to #12915370 0x1daf…964b (0x3274…a191 #12915368 0x2cbd…1126 0x4521…2889)
