2021-07-28 16:00:36 UTC Syncing #12915327 0xe12e…600b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#7108582 LI:#12915342   40/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:00:41 UTC Syncing #12915327 0xe12e…600b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#7108582 LI:#12915342   40/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:00:47 UTC Syncing #12915328 0xf8ea…4752     0.20 blk/s   24.0 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#7108583 LI:#12915342   41/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:00:51 UTC Syncing #12915328 0xf8ea…4752     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#7108583 LI:#12915343   40/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:00:56 UTC Syncing #12915328 0xf8ea…4752     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#7108583 LI:#12915344   41/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:01 UTC Syncing #12915329 0x646e…4ab5     0.20 blk/s   37.8 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#7108584 LI:#12915344   40/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:06 UTC Syncing #12915330 0x3b6f…d049     0.20 blk/s   24.8 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#7108585 LI:#12915344   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:11 UTC Syncing #12915330 0x3b6f…d049     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#7108585 LI:#12915344   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:16 UTC Syncing #12915331 0xa3b5…9cf0     0.20 blk/s   32.0 tx/s    2.9 Mgas/s      0+   14 Qed Ancient:#7108587 LI:#12915344   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:21 UTC Syncing #12915332 0xb056…6644     0.20 blk/s   26.0 tx/s    2.9 Mgas/s      0+   14 Qed Ancient:#7108588 LI:#12915345   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:26 UTC Syncing #12915332 0xb056…6644     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#7108588 LI:#12915347   36/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:31 UTC Syncing #12915333 0xf7f5…4b8f     0.20 blk/s   45.0 tx/s    2.9 Mgas/s      0+   15 Qed Ancient:#7108589 LI:#12915347   37/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:36 UTC Syncing #12915334 0x0be0…7c6a     0.20 blk/s   34.6 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#7108590 LI:#12915347   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:41 UTC Syncing #12915334 0x0be0…7c6a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#7108590 LI:#12915347   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:46 UTC Syncing #12915334 0x0be0…7c6a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#7108590 LI:#12915347   37/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:51 UTC Syncing #12915335 0x2293…c884     0.20 blk/s   38.0 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#7108591 LI:#12915347   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:01:56 UTC Syncing #12915336 0x56ee…6225     0.20 blk/s   26.2 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#7108592 LI:#12915347   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:01 UTC Syncing #12915336 0x56ee…6225     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108592 LI:#12915347   38/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:06 UTC Syncing #12915336 0x56ee…6225     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#7108592 LI:#12915348   37/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
