2021-10-02 02:59:05 UTC Syncing #13337312 0xeac2…3197     0.20 blk/s   24.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11300115 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:10 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:15 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:20 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:25 UTC Syncing #13337313 0x74a2…b86a     0.20 blk/s   49.4 tx/s    5.8 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:30 UTC Syncing #13337313 0x74a2…b86a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:35 UTC Syncing #13337313 0x74a2…b86a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:40 UTC Syncing #13337314 0x5484…0f74     0.20 blk/s   51.0 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#11300117 LI:#13337333   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:45 UTC Syncing #13337314 0x5484…0f74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11300117 LI:#13337334   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:50 UTC Syncing #13337315 0xca22…3d30     0.20 blk/s    3.8 tx/s    2.8 Mgas/s      0+   20 Qed Ancient:#11300118 LI:#13337335   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:55 UTC Syncing #13337315 0xca22…3d30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11300118 LI:#13337335   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:00 UTC Syncing #13337316 0x3a9b…4fc1     0.20 blk/s   13.6 tx/s    1.8 Mgas/s      0+   19 Qed Ancient:#11300119 LI:#13337335   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:05 UTC Syncing #13337317 0x4391…132d     0.20 blk/s   10.4 tx/s    0.8 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   35/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:10 UTC Syncing #13337317 0x4391…132d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   35/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:15 UTC Syncing #13337317 0x4391…132d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   35/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:20 UTC Syncing #13337317 0x4391…132d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:25 UTC Syncing #13337317 0x4391…132d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:30 UTC Syncing #13337317 0x4391…132d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300120 LI:#13337335   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:35 UTC Syncing #13337318 0xdf21…685a     0.20 blk/s   63.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11300121 LI:#13337336   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:40 UTC Syncing #13337318 0xdf21…685a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300121 LI:#13337336   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:45 UTC Syncing #13337318 0xdf21…685a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300121 LI:#13337336   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:50 UTC Syncing #13337319 0x355f…50fb     0.20 blk/s   62.0 tx/s    4.2 Mgas/s      0+   18 Qed Ancient:#11300122 LI:#13337337   33/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:00:55 UTC Syncing #13337320 0xa184…3607     0.20 blk/s   13.2 tx/s    0.7 Mgas/s      0+   17 Qed Ancient:#11300124 LI:#13337337   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:00 UTC Syncing #13337320 0xa184…3607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300124 LI:#13337337   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:05 UTC Syncing #13337320 0xa184…3607     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300124 LI:#13337337   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:10 UTC Syncing #13337321 0xebcf…91f9     0.20 blk/s   52.4 tx/s    3.6 Mgas/s      0+   16 Qed Ancient:#11300125 LI:#13337337   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:15 UTC Syncing #13337322 0x475b…42e7     0.20 blk/s   23.2 tx/s    1.6 Mgas/s      0+   15 Qed Ancient:#11300126 LI:#13337337   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:20 UTC Syncing #13337322 0x475b…42e7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300126 LI:#13337338   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:25 UTC Syncing #13337323 0x0d28…5669     0.20 blk/s   27.2 tx/s    2.4 Mgas/s      0+   16 Qed Ancient:#11300127 LI:#13337339   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:30 UTC Syncing #13337323 0x0d28…5669     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300127 LI:#13337339   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:35 UTC Syncing #13337323 0x0d28…5669     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300127 LI:#13337339   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:37 UTC Reorg to #13337324 0xe4c8…49e9 (0x0d28…5669 #13337322 0x475b…42e7 0x8b7e…b4f8)
2021-10-02 03:01:40 UTC Syncing #13337325 0xb3a2…8332     0.60 blk/s   60.6 tx/s    5.1 Mgas/s      0+   13 Qed Ancient:#11300130 LI:#13337339   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:45 UTC Syncing #13337325 0xb3a2…8332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11300130 LI:#13337339   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:50 UTC Syncing #13337325 0xb3a2…8332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11300130 LI:#13337340   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:01:55 UTC Syncing #13337325 0xb3a2…8332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300130 LI:#13337341   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:00 UTC Syncing #13337325 0xb3a2…8332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300130 LI:#13337341   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:05 UTC Syncing #13337325 0xb3a2…8332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300130 LI:#13337341   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:10 UTC Syncing #13337326 0xbfbe…867d     0.20 blk/s   51.2 tx/s    4.8 Mgas/s      0+   14 Qed Ancient:#11300131 LI:#13337341   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:15 UTC Syncing #13337327 0x5f51…25af     0.20 blk/s    7.0 tx/s    0.6 Mgas/s      0+   15 Qed Ancient:#11300133 LI:#13337343   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:20 UTC Syncing #13337327 0x5f51…25af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300133 LI:#13337343   34/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:25 UTC Syncing #13337327 0x5f51…25af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300133 LI:#13337343   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:30 UTC Syncing #13337328 0xe2d9…e3f1     0.20 blk/s   18.0 tx/s    2.7 Mgas/s      0+   15 Qed Ancient:#11300134 LI:#13337344   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:35 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300134 LI:#13337344   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:40 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300134 LI:#13337344   33/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:45 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300134 LI:#13337344   35/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:50 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300134 LI:#13337345   34/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:02:55 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300134 LI:#13337345   34/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:00 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300134 LI:#13337345   36/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:05 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300134 LI:#13337346   36/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.13 blk/s   26.3 tx/s    2.6 Mgas/s      0+   16 Qed Ancient:#11300438 LI:#13337346   36/50 peers     10 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.20 blk/s   39.5 tx/s    3.9 Mgas/s      0+   16 Qed Ancient:#11300438 LI:#13337346   36/50 peers     10 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11300438 LI:#13337346   36/50 peers     10 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337328 0xe2d9…e3f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300134 LI:#13337346   36/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.18 blk/s   36.5 tx/s    3.6 Mgas/s      1+   16 Qed Ancient:#11300438 LI:#13337349   36/50 peers      7 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.18 blk/s   36.5 tx/s    3.6 Mgas/s      0+   15 Qed Ancient:#11300438 LI:#13337347   36/50 peers      8 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:40 UTC Syncing #13337330 0x7c3c…c95d     0.18 blk/s   36.4 tx/s    3.6 Mgas/s      0+   15 Qed Ancient:#11300438 LI:#13337349   36/50 peers      7 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:45 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300438 LI:#13337349   35/50 peers      7 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:50 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300438 LI:#13337349   35/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:03:55 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11300438 LI:#13337349   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:00 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300438 LI:#13337350   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:05 UTC Syncing #13337330 0x7c3c…c95d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11300438 LI:#13337351   27/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:10 UTC Syncing #13337331 0x9be4…dcbd     0.20 blk/s   51.4 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#11300439 LI:#13337351   28/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:15 UTC Syncing #13337331 0x9be4…dcbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300439 LI:#13337351   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:20 UTC Syncing #13337331 0x9be4…dcbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300439 LI:#13337351   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:25 UTC Syncing #13337331 0x9be4…dcbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300439 LI:#13337351   30/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:30 UTC Syncing #13337332 0x98b0…01dc     0.20 blk/s   50.4 tx/s    3.3 Mgas/s      0+   18 Qed Ancient:#11300440 LI:#13337351   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:35 UTC Syncing #13337333 0x4f2f…d634     0.20 blk/s   11.6 tx/s    1.5 Mgas/s      0+   17 Qed Ancient:#11300441 LI:#13337351   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:40 UTC Syncing #13337333 0x4f2f…d634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300441 LI:#13337351   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:45 UTC Syncing #13337333 0x4f2f…d634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300441 LI:#13337351   31/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:04:50 UTC Syncing #13337333 0x4f2f…d634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300441 LI:#13337352   32/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
