2021-10-02 02:52:45 UTC Syncing #13337290 0x1973…763a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11295788 LI:#13337297   36/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:52:50 UTC Syncing #13337291 0x996e…7f64     0.20 blk/s   53.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11295789 LI:#13337298   36/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:52:55 UTC Syncing #13337292 0x6a97…73e6     0.20 blk/s   78.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11295790 LI:#13337298   37/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:53:00 UTC Syncing #13337292 0x6a97…73e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11295790 LI:#13337298   35/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:53:30 UTC  Ancient:#11295796 AB:#11299154   35/50 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:53:30 UTC Imported #13337299 0xe180…d9cc (166 txs, 13.22 Mgas, 6753 ms, 79.36 KiB)
2021-10-02 02:54:00 UTC  Ancient:#11297242 AB:#11300328   34/50 peers    145 KiB chain   49 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:54:06 UTC Imported #13337301 0x90ab…dbe5 (42 txs, 4.11 Mgas, 3486 ms, 12.70 KiB)
2021-10-02 02:54:31 UTC  Ancient:#11298898 AB:#11300621   30/50 peers    755 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:54:31 UTC Imported #13337302 0xfb9a…aaf7 (166 txs, 17.24 Mgas, 8508 ms, 73.02 KiB)
2021-10-02 02:55:06 UTC  Ancient:#11300103 AB:#11301720   28/50 peers      5 MiB chain  943 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:10 UTC Syncing #13337302 0xfb9a…aaf7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11300103 LI:#13337306   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:15 UTC Syncing #13337302 0xfb9a…aaf7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11300103 LI:#13337306   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:20 UTC Syncing #13337303 0xd51d…1aec     0.20 blk/s   80.6 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11300104 LI:#13337307   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:25 UTC Syncing #13337304 0x047f…3631     0.20 blk/s   16.0 tx/s    1.7 Mgas/s      0+    4 Qed Ancient:#11300105 LI:#13337308   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:30 UTC Syncing #13337304 0x047f…3631     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11300105 LI:#13337308   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:35 UTC Syncing #13337304 0x047f…3631     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11300105 LI:#13337308   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:45 UTC Syncing #13337305 0x132a…3a52     0.10 blk/s   29.4 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#11300106 LI:#13337309   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:50 UTC Syncing #13337305 0x132a…3a52     0.20 blk/s   82.8 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11300107 LI:#13337310   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:55:55 UTC Syncing #13337305 0x132a…3a52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11300107 LI:#13337311   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:00 UTC Syncing #13337305 0x132a…3a52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11300107 LI:#13337311   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:05 UTC Syncing #13337306 0xe76c…bda6     0.20 blk/s   32.0 tx/s    2.4 Mgas/s      0+    7 Qed Ancient:#11300108 LI:#13337313   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:10 UTC Syncing #13337306 0xe76c…bda6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11300108 LI:#13337313   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:15 UTC Syncing #13337306 0xe76c…bda6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11300108 LI:#13337313   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:20 UTC Syncing #13337306 0xe76c…bda6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11300108 LI:#13337314   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:25 UTC Syncing #13337307 0x75d6…6f27     0.20 blk/s   25.8 tx/s    2.1 Mgas/s      0+    8 Qed Ancient:#11300109 LI:#13337315   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:30 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11300109 LI:#13337315   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:35 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:40 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:45 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:50 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:55 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
