2021-10-02 03:08:05 UTC Syncing #13337354 0x2dce…9e4d     0.20 blk/s   23.2 tx/s    2.1 Mgas/s      0+   11 Qed Ancient:#11300463 LI:#13337366   40/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:10 UTC Syncing #13337356 0x054a…af87     0.40 blk/s   39.6 tx/s    4.8 Mgas/s      0+    9 Qed Ancient:#11300465 LI:#13337366   40/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:15 UTC Syncing #13337357 0x7297…4842     0.20 blk/s    9.8 tx/s    0.7 Mgas/s      0+    8 Qed Ancient:#11300466 LI:#13337366   40/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:20 UTC Syncing #13337359 0x3cf7…b636     0.40 blk/s   71.6 tx/s    6.4 Mgas/s      0+    6 Qed Ancient:#11300468 LI:#13337366   40/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:25 UTC Syncing #13337361 0x0721…3f65     0.40 blk/s  103.0 tx/s    8.5 Mgas/s      0+    4 Qed Ancient:#11300470 LI:#13337366   40/50 peers      6 MiB chain  872 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:30 UTC Syncing #13337361 0x0721…3f65     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11300470 LI:#13337366   40/50 peers      6 MiB chain  872 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:08:42 UTC Imported #13337366 0xc0fd…2f49 (18 txs, 1.30 Mgas, 218 ms, 5.71 KiB)
2021-10-02 03:09:01 UTC  Ancient:#11302348 AB:#11303747   38/50 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:09:01 UTC  Ancient:#11302348 AB:#11303747   38/50 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:09:35 UTC  Ancient:#11302348 AB:#11304046   38/50 peers      1 KiB chain  291 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:08 UTC Syncing #13337367 0xbe91…655d     0.03 blk/s   10.8 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#11302349 LI:#13337374   38/50 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:10 UTC Syncing #13337368 0x2efd…2440     0.20 blk/s   48.6 tx/s    4.1 Mgas/s      0+    6 Qed Ancient:#11302350 LI:#13337375   37/50 peers    214 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:15 UTC Syncing #13337368 0x2efd…2440     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302350 LI:#13337375   37/50 peers    214 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:20 UTC Syncing #13337368 0x2efd…2440     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302350 LI:#13337375   36/50 peers    214 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:25 UTC Syncing #13337368 0x2efd…2440     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302350 LI:#13337375   36/50 peers    214 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:30 UTC Syncing #13337368 0x2efd…2440     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302350 LI:#13337376   35/50 peers    214 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:10:35 UTC Syncing #13337369 0xc374…1cc9     0.20 blk/s   69.0 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11302351 LI:#13337377   35/50 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:08 UTC Syncing #13337372 0xaa2d…8555     0.30 blk/s   15.2 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#11302838 LI:#13337377   35/50 peers      9 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:08 UTC Syncing #13337372 0xaa2d…8555     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11302838 LI:#13337377   35/50 peers      9 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:08 UTC Syncing #13337369 0xc374…1cc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302351 LI:#13337377   35/50 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:08 UTC Syncing #13337372 0xaa2d…8555     0.17 blk/s    8.5 tx/s    0.8 Mgas/s      0+    6 Qed Ancient:#11302838 LI:#13337379   35/50 peers   744 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:08 UTC Syncing #13337372 0xaa2d…8555     0.17 blk/s    8.5 tx/s    0.8 Mgas/s      0+    5 Qed Ancient:#11302838 LI:#13337379   35/50 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:15 UTC Syncing #13337372 0xaa2d…8555     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302838 LI:#13337382   34/50 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:20 UTC Syncing #13337372 0xaa2d…8555     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302838 LI:#13337382   34/50 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:25 UTC Syncing #13337372 0xaa2d…8555     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302838 LI:#13337382   31/50 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:30 UTC Syncing #13337374 0x185f…7ed1     0.40 blk/s   43.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11302840 LI:#13337382   33/50 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:35 UTC Syncing #13337375 0x4bee…8d6d     0.20 blk/s    6.0 tx/s    1.2 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   33/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:40 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   32/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:45 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   34/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:52 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302841 LI:#13337384   34/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:57 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302841 LI:#13337384   32/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:00 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302841 LI:#13337385   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:05 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302841 LI:#13337385   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:10 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302841 LI:#13337386   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
