2021-09-22 03:23:50 UTC Syncing #13273124 0x3c3a…ef49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5681394 LI:#13273131   11/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:04 UTC Syncing #13273125 0x3ce6…4ee7     0.10 blk/s   33.3 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#5681395 LI:#13273131   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:04 UTC Syncing #13273124 0x3c3a…ef49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5681394 LI:#13273131   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:05 UTC Syncing #13273125 0x3ce6…4ee7     0.20 blk/s   66.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#5681395 LI:#13273131   10/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:10 UTC Syncing #13273125 0x3ce6…4ee7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5681395 LI:#13273132   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:15 UTC Syncing #13273126 0xad32…89f8     0.20 blk/s   19.4 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#5681397 LI:#13273133   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:20 UTC Syncing #13273126 0xad32…89f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5681397 LI:#13273133   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:25 UTC Syncing #13273126 0xad32…89f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5681397 LI:#13273134   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:30 UTC Syncing #13273126 0xad32…89f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5681397 LI:#13273135   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:37 UTC Syncing #13273127 0xf198…03d6     0.14 blk/s    9.9 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#5681398 LI:#13273135   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:55 UTC Syncing #13273127 0xf198…03d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5681398 LI:#13273135   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:55 UTC Syncing #13273127 0xf198…03d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5681398 LI:#13273135   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:24:55 UTC Syncing #13273127 0xf198…03d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5681398 LI:#13273135   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:00 UTC Syncing #13273127 0xf198…03d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5681398 LI:#13273136   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:05 UTC Syncing #13273127 0xf198…03d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5681398 LI:#13273137   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:12 UTC Syncing #13273128 0xb805…04d9     0.20 blk/s   25.0 tx/s    2.9 Mgas/s      0+    8 Qed Ancient:#5681399 LI:#13273137   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:15 UTC Syncing #13273128 0xb805…04d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5681399 LI:#13273138   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:23 UTC Syncing #13273128 0xb805…04d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5681399 LI:#13273138   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
