2021-09-22 03:29:00 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:00 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:05 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:10 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:15 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:20 UTC Syncing #13273142 0x71a7…1a32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681437 LI:#13273156   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:26 UTC Syncing #13273143 0x71b3…760e     0.20 blk/s   65.6 tx/s    5.9 Mgas/s      0+   14 Qed Ancient:#5681438 LI:#13273156   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:30 UTC Syncing #13273143 0x71b3…760e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681438 LI:#13273157   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:35 UTC Syncing #13273143 0x71b3…760e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5681438 LI:#13273158   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:43 UTC Syncing #13273144 0xccb6…2894     0.20 blk/s   36.6 tx/s    4.1 Mgas/s      0+   15 Qed Ancient:#5681439 LI:#13273158   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:49 UTC Syncing #13273146 0xf8f5…2590     0.40 blk/s   25.0 tx/s    2.2 Mgas/s      0+   13 Qed Ancient:#5681442 LI:#13273158   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:29:55 UTC Syncing #13273147 0x2bbd…7a9a     0.20 blk/s    9.8 tx/s    1.0 Mgas/s      0+   12 Qed Ancient:#5681443 LI:#13273158   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
