2021-10-02 03:35:24 UTC Syncing #13337494 0x2c32…c7cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11305944 LI:#13337503   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:29 UTC Syncing #13337495 0x30ab…6299     0.20 blk/s   46.6 tx/s    4.8 Mgas/s      0+    8 Qed Ancient:#11305945 LI:#13337504   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:34 UTC Syncing #13337496 0x9751…1aee     0.20 blk/s   52.8 tx/s    4.2 Mgas/s      0+    7 Qed Ancient:#11305946 LI:#13337504   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:39 UTC Syncing #13337497 0x50dc…83f9     0.20 blk/s   55.0 tx/s    5.8 Mgas/s      0+    7 Qed Ancient:#11305947 LI:#13337505   29/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:44 UTC Syncing #13337498 0xe1c9…d863     0.20 blk/s   45.8 tx/s    3.8 Mgas/s      0+    6 Qed Ancient:#11305948 LI:#13337505   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:49 UTC Syncing #13337500 0x813f…e29c     0.40 blk/s   34.2 tx/s    3.2 Mgas/s      0+    4 Qed Ancient:#11305950 LI:#13337505   30/50 peers      5 MiB chain  801 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:54 UTC Syncing #13337501 0x7ea8…b13f     0.20 blk/s    6.2 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11305951 LI:#13337506   29/50 peers      5 MiB chain  737 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:35:59 UTC Syncing #13337502 0xbceb…54e6     0.20 blk/s   46.6 tx/s    5.0 Mgas/s      0+    4 Qed Ancient:#11305952 LI:#13337507   29/50 peers      5 MiB chain  492 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:36:04 UTC Syncing #13337504 0xe5cc…5223     0.40 blk/s   50.0 tx/s    4.3 Mgas/s      0+    4 Qed Ancient:#11305954 LI:#13337508   30/50 peers      5 MiB chain 1024 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:36:09 UTC Syncing #13337504 0xe5cc…5223     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305954 LI:#13337508   30/50 peers      5 MiB chain 1024 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:36:30 UTC Imported #13337508 0xdc53…8dd5 (266 txs, 25.44 Mgas, 5207 ms, 87.20 KiB)
2021-10-02 03:36:39 UTC  Ancient:#11306957 AB:#11309235   28/50 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:37:09 UTC  Ancient:#11306958 AB:#11309633   28/50 peers    144 KiB chain  583 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:37:24 UTC Syncing #13337510 0x1f84…7f2f     0.07 blk/s    8.2 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#11306961 LI:#13337515   28/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:37:54 UTC  Ancient:#11306964 AB:#11310547   28/50 peers    356 KiB chain  525 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:04 UTC Syncing #13337513 0x255e…d2f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11306964 LI:#13337518   28/50 peers    356 KiB chain  849 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:09 UTC Syncing #13337513 0x255e…d2f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11306964 LI:#13337518   28/50 peers    356 KiB chain  849 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:14 UTC Syncing #13337514 0x9d48…268f     0.20 blk/s  134.8 tx/s    5.9 Mgas/s      0+    4 Qed Ancient:#11306965 LI:#13337518   28/50 peers    356 KiB chain  813 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:19 UTC Syncing #13337515 0x06f8…cf72     0.20 blk/s    5.0 tx/s    0.3 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   28/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:24 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   28/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:29 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   28/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:34 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   27/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:39 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   27/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:44 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306966 LI:#13337519   27/50 peers    636 KiB chain  460 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:49 UTC Syncing #13337515 0x06f8…cf72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11306966 LI:#13337520   27/50 peers    636 KiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:54 UTC Syncing #13337516 0x3294…7fd9     0.20 blk/s   71.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11306967 LI:#13337521   27/50 peers    637 KiB chain  890 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:38:59 UTC Syncing #13337516 0x3294…7fd9     0.20 blk/s   28.6 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#11306968 LI:#13337521   29/50 peers   1001 KiB chain  766 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:39:04 UTC Syncing #13337516 0x3294…7fd9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306968 LI:#13337521   29/50 peers   1001 KiB chain  766 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:39:09 UTC Syncing #13337516 0x3294…7fd9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11306968 LI:#13337521   28/50 peers   1001 KiB chain  766 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:39:39 UTC  Ancient:#11307106 AB:#11310547   27/50 peers      5 MiB chain  859 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:24 UTC Syncing #13337520 0xfa0e…4413     0.02 blk/s    8.1 tx/s    0.7 Mgas/s      0+    5 Qed Ancient:#11307216 LI:#13337525   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:24 UTC Syncing #13337520 0xfa0e…4413     0.46 blk/s  160.2 tx/s   13.6 Mgas/s      0+    5 Qed Ancient:#11307216 LI:#13337525   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:24 UTC Syncing #13337519 0x43d3…cea6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11307106 LI:#13337525   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:29 UTC Syncing #13337520 0xfa0e…4413     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11307217 LI:#13337525   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:34 UTC Syncing #13337521 0x9063…dc49     0.20 blk/s   21.7 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#11307218 LI:#13337527   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:40:39 UTC Syncing #13337521 0x9063…dc49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11307218 LI:#13337527   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
