2021-10-02 03:30:19 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   29/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:24 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   31/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:29 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   32/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:34 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   31/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:39 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   28/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:44 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   30/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:49 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   30/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:54 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305921 LI:#13337477   32/50 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:30:59 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305921 LI:#13337478   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:04 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305921 LI:#13337478   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:09 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305921 LI:#13337478   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:14 UTC Syncing #13337473 0x0ffa…a1da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305921 LI:#13337478   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:19 UTC Syncing #13337474 0x975c…3d2a     0.20 blk/s   60.4 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11305922 LI:#13337478   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:29 UTC Syncing #13337474 0x975c…3d2a     0.10 blk/s    3.1 tx/s    0.4 Mgas/s      0+    4 Qed Ancient:#11305923 LI:#13337479   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:34 UTC Syncing #13337474 0x975c…3d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11305923 LI:#13337479   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:39 UTC Syncing #13337474 0x975c…3d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305923 LI:#13337480   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:44 UTC Syncing #13337474 0x975c…3d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11305923 LI:#13337481   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:49 UTC Syncing #13337475 0x8764…0e7e     0.20 blk/s   60.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11305924 LI:#13337481   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:54 UTC Syncing #13337476 0x2092…447d     0.20 blk/s   10.6 tx/s    1.2 Mgas/s      0+    5 Qed Ancient:#11305925 LI:#13337482   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:31:59 UTC Syncing #13337476 0x2092…447d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11305925 LI:#13337482   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:04 UTC Syncing #13337477 0xe1f8…009c     0.20 blk/s   16.2 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11305926 LI:#13337484   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:09 UTC Syncing #13337477 0xe1f8…009c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11305926 LI:#13337484   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:14 UTC Syncing #13337477 0xe1f8…009c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11305926 LI:#13337485   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:19 UTC Syncing #13337477 0xe1f8…009c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11305926 LI:#13337485   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:24 UTC Syncing #13337477 0xe1f8…009c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11305926 LI:#13337487   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:29 UTC Syncing #13337477 0xe1f8…009c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11305926 LI:#13337487   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:34 UTC Syncing #13337478 0x8700…5089     0.20 blk/s   77.0 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11305927 LI:#13337488   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:39 UTC Syncing #13337478 0x8700…5089     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11305927 LI:#13337489   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:44 UTC Syncing #13337478 0x8700…5089     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11305927 LI:#13337489   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:49 UTC Syncing #13337478 0x8700…5089     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11305927 LI:#13337489   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:54 UTC Syncing #13337478 0x8700…5089     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11305927 LI:#13337490   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:32:59 UTC Syncing #13337479 0x7293…f515     0.20 blk/s   60.4 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11305928 LI:#13337492   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:04 UTC Syncing #13337479 0x7293…f515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11305928 LI:#13337492   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:09 UTC Syncing #13337479 0x7293…f515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11305928 LI:#13337492   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:14 UTC Syncing #13337479 0x7293…f515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11305928 LI:#13337494   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:19 UTC Syncing #13337481 0xaa3b…f928     0.40 blk/s   51.8 tx/s    5.1 Mgas/s      0+   13 Qed Ancient:#11305929 LI:#13337494   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:24 UTC Syncing #13337481 0xaa3b…f928     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11305930 LI:#13337494   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:29 UTC Syncing #13337481 0xaa3b…f928     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11305930 LI:#13337495   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:33:34 UTC Syncing #13337482 0x34a7…0a46     0.20 blk/s   36.0 tx/s    2.2 Mgas/s      0+   12 Qed Ancient:#11305931 LI:#13337495   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
