2021-10-02 03:45:04 UTC Syncing #13337535 0x3dc1…88cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11308281 LI:#13337548   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:09 UTC Syncing #13337535 0x3dc1…88cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11308281 LI:#13337549   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:41 UTC Syncing #13337537 0x6988…a7c1     0.19 blk/s   31.2 tx/s    2.4 Mgas/s      0+   13 Qed Ancient:#11308282 LI:#13337550   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:41 UTC Syncing #13337537 0x6988…a7c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11309003 LI:#13337552   30/50 peers     18 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:43 UTC Syncing #13337537 0x6988…a7c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309005 LI:#13337554   29/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:49 UTC Syncing #13337537 0x6988…a7c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309005 LI:#13337554   29/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:54 UTC Syncing #13337537 0x6988…a7c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309005 LI:#13337554   27/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:45:59 UTC Syncing #13337538 0xa284…bb2f     0.20 blk/s   17.4 tx/s    1.4 Mgas/s      0+   15 Qed Ancient:#11309006 LI:#13337554   27/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:04 UTC Syncing #13337538 0xa284…bb2f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11309006 LI:#13337554   27/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:09 UTC Syncing #13337538 0xa284…bb2f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11309006 LI:#13337554   27/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:14 UTC Syncing #13337538 0xa284…bb2f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309006 LI:#13337555   27/50 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:19 UTC Syncing #13337538 0xa284…bb2f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11309006 LI:#13337556   27/50 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:24 UTC Syncing #13337540 0x84a3…308d     0.40 blk/s   34.4 tx/s    5.0 Mgas/s      0+   15 Qed Ancient:#11309008 LI:#13337556   28/50 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:30 UTC Syncing #13337540 0x84a3…308d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309008 LI:#13337557   27/50 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:34 UTC Syncing #13337540 0x84a3…308d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11309008 LI:#13337558   27/50 peers    215 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:39 UTC Syncing #13337541 0x3480…0a17     0.20 blk/s   61.6 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11309009 LI:#13337558   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:44 UTC Syncing #13337541 0x3480…0a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309009 LI:#13337558   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:49 UTC Syncing #13337541 0x3480…0a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309009 LI:#13337558   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:54 UTC Syncing #13337541 0x3480…0a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309009 LI:#13337558   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:46:59 UTC Syncing #13337541 0x3480…0a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11309009 LI:#13337559   28/50 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:04 UTC Syncing #13337542 0x289e…da54     0.20 blk/s   56.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11309011 LI:#13337559   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:09 UTC Syncing #13337542 0x289e…da54     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309011 LI:#13337559   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:14 UTC Syncing #13337542 0x289e…da54     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309011 LI:#13337559   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:19 UTC Syncing #13337543 0xf535…8428     0.20 blk/s   48.2 tx/s    4.2 Mgas/s      0+   15 Qed Ancient:#11309012 LI:#13337559   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:24 UTC Syncing #13337543 0xf535…8428     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11309012 LI:#13337559   29/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:29 UTC Syncing #13337544 0xa5d1…062d     0.20 blk/s   22.4 tx/s    1.9 Mgas/s      0+   14 Qed Ancient:#11309013 LI:#13337559   29/50 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:34 UTC Syncing #13337545 0xe571…cd66     0.20 blk/s   20.0 tx/s    1.8 Mgas/s      0+   13 Qed Ancient:#11309014 LI:#13337559   29/50 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
