2021-10-02 03:49:04 UTC Syncing #13337559 0x5bc0…5b8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11309028 LI:#13337567   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:49:09 UTC Syncing #13337560 0x906f…db10     0.20 blk/s  122.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11309029 LI:#13337568   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:49:14 UTC Syncing #13337563 0x8620…9990     0.60 blk/s   73.8 tx/s    6.6 Mgas/s      0+    4 Qed Ancient:#11309032 LI:#13337568   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:49:19 UTC Syncing #13337563 0x8620…9990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11309032 LI:#13337568   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:49:45 UTC Imported #13337569 0x76f1…f0e1 (164 txs, 14.80 Mgas, 4284 ms, 78.78 KiB)
2021-10-02 03:49:56 UTC  Ancient:#11310000 AB:#11312322   32/50 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:49:56 UTC  Ancient:#11309565 AB:#11312322   32/50 peers    573 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:50:26 UTC  Ancient:#11310339 AB:#11312453   32/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:50:44 UTC Imported #13337570 0x8a6b…fe53 (291 txs, 27.96 Mgas, 27852 ms, 133.51 KiB)
2021-10-02 03:51:00 UTC  Ancient:#11310767 AB:#11312754   32/50 peers    638 KiB chain  216 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:17 UTC Syncing #13337570 0x8a6b…fe53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310767 LI:#13337575   31/50 peers    638 KiB chain  655 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:19 UTC Syncing #13337570 0x8a6b…fe53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310767 LI:#13337575   31/50 peers    638 KiB chain  655 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:24 UTC Syncing #13337570 0x8a6b…fe53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310767 LI:#13337575   29/50 peers    638 KiB chain  655 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:39 UTC Syncing #13337571 0x27f5…94be     0.07 blk/s   15.0 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#11310768 LI:#13337577   30/50 peers    638 KiB chain  852 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:46 UTC Syncing #13337571 0x27f5…94be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310768 LI:#13337577   28/50 peers    638 KiB chain  852 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:50 UTC Syncing #13337571 0x27f5…94be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310768 LI:#13337577   27/50 peers    638 KiB chain  852 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:51:54 UTC Syncing #13337571 0x27f5…94be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310768 LI:#13337577   26/50 peers    638 KiB chain  852 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:52:00 UTC Syncing #13337572 0xcfe2…413a     0.20 blk/s   39.6 tx/s    2.6 Mgas/s      0+    4 Qed Ancient:#11310769 LI:#13337577   28/50 peers    638 KiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:52:05 UTC Syncing #13337572 0xcfe2…413a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310769 LI:#13337577   28/50 peers    638 KiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
