2021-07-28 16:21:46 UTC Syncing #12915418 0xaf45…bca1     0.20 blk/s   26.2 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124023 LI:#12915427   25/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:21:51 UTC Syncing #12915418 0xaf45…bca1     0.20 blk/s   26.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124024 LI:#12915427   25/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:21:56 UTC Syncing #12915418 0xaf45…bca1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124024 LI:#12915427   24/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:21:57 UTC Reorg to #12915419 0xc178…8995 (0xaf45…bca1 #12915417 0x9f2d…9281 0xce79…bc9f)
2021-07-28 16:22:01 UTC Syncing #12915419 0xc178…8995     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7124025 LI:#12915427   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:06 UTC Syncing #12915419 0xc178…8995     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7124025 LI:#12915427   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:11 UTC Syncing #12915420 0x4f93…6a08     0.20 blk/s   38.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7124026 LI:#12915428   26/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:16 UTC Syncing #12915420 0x4f93…6a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7124026 LI:#12915428   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:21 UTC Syncing #12915420 0x4f93…6a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124026 LI:#12915429   26/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:26 UTC Syncing #12915421 0x21a2…e3ca     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124027 LI:#12915430   26/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:31 UTC Syncing #12915421 0x21a2…e3ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124027 LI:#12915430   28/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:36 UTC Syncing #12915422 0x19a9…2b5a     0.20 blk/s   51.4 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124028 LI:#12915431   28/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:41 UTC Syncing #12915422 0x19a9…2b5a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124028 LI:#12915433   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:46 UTC Syncing #12915422 0x19a9…2b5a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124028 LI:#12915433   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:51 UTC Syncing #12915423 0x1acf…4b7c     0.20 blk/s   27.6 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7124029 LI:#12915433   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:56 UTC Syncing #12915424 0xf746…135d     0.20 blk/s   35.0 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:01 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:06 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:11 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7124030 LI:#12915434   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:16 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124030 LI:#12915435   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:21 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124030 LI:#12915435   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:26 UTC Syncing #12915425 0xdc28…21e4     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7124031 LI:#12915435   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
