2021-07-28 16:22:41 UTC Syncing #12915422 0x19a9…2b5a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124028 LI:#12915433   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:46 UTC Syncing #12915422 0x19a9…2b5a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124028 LI:#12915433   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:51 UTC Syncing #12915423 0x1acf…4b7c     0.20 blk/s   27.6 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7124029 LI:#12915433   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:22:56 UTC Syncing #12915424 0xf746…135d     0.20 blk/s   35.0 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:01 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:06 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124030 LI:#12915433   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:11 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7124030 LI:#12915434   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:16 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124030 LI:#12915435   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:21 UTC Syncing #12915424 0xf746…135d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124030 LI:#12915435   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:26 UTC Syncing #12915425 0xdc28…21e4     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7124031 LI:#12915435   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:31 UTC Syncing #12915425 0xdc28…21e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7124031 LI:#12915435   29/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:36 UTC Syncing #12915425 0xdc28…21e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124031 LI:#12915436   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:41 UTC Syncing #12915425 0xdc28…21e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124031 LI:#12915436   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:46 UTC Syncing #12915426 0x74a3…b4e5     0.20 blk/s   47.4 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#7124033 LI:#12915437   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:51 UTC Syncing #12915426 0x74a3…b4e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7124033 LI:#12915437   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:23:56 UTC Syncing #12915427 0x6ab5…fc61     0.20 blk/s   44.2 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7124034 LI:#12915437   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:01 UTC Syncing #12915428 0x9430…8214     0.20 blk/s   37.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124035 LI:#12915437   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:06 UTC Syncing #12915428 0x9430…8214     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7124035 LI:#12915437   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:11 UTC Syncing #12915429 0x28ba…872f     0.20 blk/s   34.4 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7124036 LI:#12915438   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:16 UTC Syncing #12915430 0xca0f…a47f     0.20 blk/s   33.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7124039 LI:#12915438   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:21 UTC Syncing #12915430 0xca0f…a47f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7124039 LI:#12915438   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:26 UTC Syncing #12915431 0xd05e…2bfc     0.20 blk/s   80.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7124041 LI:#12915439   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:31 UTC Syncing #12915431 0xd05e…2bfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7124041 LI:#12915439   27/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:36 UTC Syncing #12915433 0xc344…5494     0.40 blk/s   64.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#7124043 LI:#12915439   27/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:41 UTC Syncing #12915433 0xc344…5494     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7124043 LI:#12915439   27/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:46 UTC Syncing #12915434 0x15ff…02d9     0.20 blk/s   42.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7124044 LI:#12915439   27/50 peers      3 MiB chain  948 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:24:51 UTC Syncing #12915434 0x15ff…02d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7124044 LI:#12915439   27/50 peers      5 MiB chain  948 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:25:21 UTC  Ancient:#7124048 AB:#7127410   27/50 peers      7 MiB chain  447 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:25:56 UTC  Ancient:#7124050 AB:#7127410   24/25 peers      7 MiB chain  863 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:26:26 UTC  Ancient:#7124051 AB:#7127410   22/25 peers      4 MiB chain  722 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:26:56 UTC  Ancient:#7124052 AB:#7127410   20/25 peers      6 MiB chain  525 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:27:26 UTC  Ancient:#7124053 AB:#7127410   22/25 peers      5 MiB chain  448 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:27:56 UTC  Ancient:#7124057 AB:#7127410   22/25 peers      3 MiB chain  205 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:28:16 UTC Imported #12915450 0x21b8…136e (125 txs, 14.98 Mgas, 10264 ms, 87.09 KiB)
