2021-05-09 11:45:23 UTC Syncing #12399791 0xb6ed…caca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  184 Qed Ancient:#12152025 LI:#12399974   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:28 UTC Syncing #12399792 0x3c34…695a     0.20 blk/s   74.4 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12152025 LI:#12399974   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:33 UTC Syncing #12399793 0x3614…162c     0.20 blk/s   45.6 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12152025 LI:#12399975   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:38 UTC Syncing #12399793 0x3614…162c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12152025 LI:#12399975   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:43 UTC Syncing #12399794 0x9df6…d99a     0.20 blk/s   65.8 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12152025 LI:#12399975   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:48 UTC Syncing #12399795 0x9fe3…3b65     0.20 blk/s   50.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399975   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:53 UTC Syncing #12399795 0x9fe3…3b65     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12152025 LI:#12399976   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:58 UTC Syncing #12399796 0x6a43…e12f     0.20 blk/s   49.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:03 UTC Syncing #12399797 0x24c6…04ee     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:08 UTC Syncing #12399797 0x24c6…04ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:13 UTC Syncing #12399798 0x2f1e…0913     0.20 blk/s   57.2 tx/s    2.9 Mgas/s      0+  180 Qed Ancient:#12152025 LI:#12399977   39/50 peers    638 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:25 UTC Syncing #12399800 0x6835…28e9     0.16 blk/s   48.7 tx/s    2.4 Mgas/s      0+  179 Qed Ancient:#12152086 LI:#12399977   39/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:34 UTC Syncing #12399801 0x7645…dd34     0.12 blk/s   24.7 tx/s    1.7 Mgas/s      0+  178 Qed Ancient:#12152190 LI:#12399977   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:43 UTC Syncing #12399802 0xe454…4046     0.11 blk/s   31.9 tx/s    1.7 Mgas/s      0+  177 Qed Ancient:#12152218 LI:#12399977   39/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:43 UTC Syncing #12399802 0xe454…4046     0.11 blk/s   31.9 tx/s    1.7 Mgas/s      0+  176 Qed Ancient:#12152218 LI:#12399977   39/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:48 UTC Syncing #12399802 0xe454…4046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12152218 LI:#12399978   37/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
