2021-05-09 11:45:53 UTC Syncing #12399795 0x9fe3…3b65     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  182 Qed Ancient:#12152025 LI:#12399976   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:45:58 UTC Syncing #12399796 0x6a43…e12f     0.20 blk/s   49.8 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:03 UTC Syncing #12399797 0x24c6…04ee     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:08 UTC Syncing #12399797 0x24c6…04ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12152025 LI:#12399977   39/50 peers    637 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:13 UTC Syncing #12399798 0x2f1e…0913     0.20 blk/s   57.2 tx/s    2.9 Mgas/s      0+  180 Qed Ancient:#12152025 LI:#12399977   39/50 peers    638 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:25 UTC Syncing #12399800 0x6835…28e9     0.16 blk/s   48.7 tx/s    2.4 Mgas/s      0+  179 Qed Ancient:#12152086 LI:#12399977   39/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:34 UTC Syncing #12399801 0x7645…dd34     0.12 blk/s   24.7 tx/s    1.7 Mgas/s      0+  178 Qed Ancient:#12152190 LI:#12399977   39/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:43 UTC Syncing #12399802 0xe454…4046     0.11 blk/s   31.9 tx/s    1.7 Mgas/s      0+  177 Qed Ancient:#12152218 LI:#12399977   39/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:43 UTC Syncing #12399802 0xe454…4046     0.11 blk/s   31.9 tx/s    1.7 Mgas/s      0+  176 Qed Ancient:#12152218 LI:#12399977   39/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:46:48 UTC Syncing #12399802 0xe454…4046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12152218 LI:#12399978   37/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:49:30 UTC Syncing #12399804 0x11c8…d88b     0.01 blk/s    3.2 tx/s    0.2 Mgas/s      0+  193 Qed Ancient:#12154127 LI:#12399995   34/50 peers    0 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:49:34 UTC Syncing #12399804 0x11c8…d88b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  194 Qed Ancient:#12154618 LI:#12399996   34/50 peers    0 bytes chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:49:43 UTC Syncing #12399805 0x3839…0704     0.11 blk/s   28.1 tx/s    1.6 Mgas/s      0+  193 Qed Ancient:#12154620 LI:#12399996   35/50 peers    145 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
