2021-10-02 01:07:22 UTC Syncing #13336841 0x13cc…5560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275128 LI:#13336846   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:27 UTC Syncing #13336841 0x13cc…5560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11275128 LI:#13336847   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:34 UTC Syncing #13336841 0x13cc…5560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11275128 LI:#13336847   15/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:38 UTC Syncing #13336841 0x13cc…5560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11275128 LI:#13336847   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:42 UTC Syncing #13336841 0x13cc…5560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11275128 LI:#13336848   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:47 UTC Syncing #13336842 0xd960…31c4     0.40 blk/s   88.6 tx/s    6.2 Mgas/s      0+    6 Qed Ancient:#11275130 LI:#13336848   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:53 UTC Syncing #13336842 0xd960…31c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275130 LI:#13336848   17/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:07:57 UTC Syncing #13336842 0xd960…31c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275130 LI:#13336848   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:02 UTC Syncing #13336843 0xe404…2fd3     0.20 blk/s   26.4 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#11275131 LI:#13336848   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:07 UTC Syncing #13336844 0x22a2…f70c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11275131 LI:#13336848   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:12 UTC Syncing #13336844 0x22a2…f70c     0.20 blk/s   22.2 tx/s    1.3 Mgas/s      0+    4 Qed Ancient:#11275133 LI:#13336848   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:32 UTC Syncing #13336845 0x9426…7804     0.05 blk/s    5.7 tx/s    0.3 Mgas/s      0+    4 Qed Ancient:#11275134 LI:#13336849   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:37 UTC Syncing #13336845 0x9426…7804     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11275134 LI:#13336850   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:42 UTC Syncing #13336846 0xb2e5…e957     0.20 blk/s   52.4 tx/s    4.3 Mgas/s      0+    6 Qed Ancient:#11275135 LI:#13336851   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:45 UTC Reorg to #13336847 0x249b…77dc (0xb2e5…e957 #13336845 0x9426…7804 0x9889…5c05)
2021-10-02 01:08:47 UTC Syncing #13336847 0x249b…77dc     0.40 blk/s   59.0 tx/s    4.8 Mgas/s      0+    4 Qed Ancient:#11275137 LI:#13336851   20/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:53 UTC Syncing #13336847 0x249b…77dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11275137 LI:#13336851   21/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:08:57 UTC Syncing #13336847 0x249b…77dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11275137 LI:#13336851   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:07 UTC Syncing #13336848 0xeb5f…6b10     0.10 blk/s   24.5 tx/s    1.7 Mgas/s      0+    4 Qed Ancient:#11275139 LI:#13336852   20/25 peers      6 MiB chain  894 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:12 UTC Syncing #13336848 0xeb5f…6b10     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11275139 LI:#13336852   20/25 peers      6 MiB chain  894 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:17 UTC Syncing #13336848 0xeb5f…6b10     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11275139 LI:#13336852   20/25 peers      6 MiB chain  894 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:27 UTC Syncing #13336849 0xc591…55e0     0.10 blk/s   40.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#11275141 LI:#13336854   21/25 peers      6 MiB chain  882 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:32 UTC Syncing #13336849 0xc591…55e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11275141 LI:#13336854   19/25 peers      6 MiB chain  882 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:37 UTC Syncing #13336849 0xc591…55e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275141 LI:#13336855   17/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:42 UTC Syncing #13336849 0xc591…55e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275141 LI:#13336855   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:47 UTC Syncing #13336850 0xb3ec…25e3     0.20 blk/s   30.0 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#11275142 LI:#13336856   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
