2021-10-02 01:02:17 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:22 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:27 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:32 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:37 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   29/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:42 UTC Syncing #13336820 0xa771…a6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11272483 LI:#13336829   29/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:50 UTC Syncing #13336822 0xcb9b…e78e     0.40 blk/s   45.6 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11272485 LI:#13336830   28/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:02:54 UTC Syncing #13336822 0xcb9b…e78e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11272485 LI:#13336830   29/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:00 UTC Syncing #13336823 0xb0af…05df     0.20 blk/s   99.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11272486 LI:#13336830   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:02 UTC Syncing #13336823 0xb0af…05df     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11272486 LI:#13336830   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:10 UTC Syncing #13336824 0x8704…6317     0.20 blk/s   87.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11272487 LI:#13336830   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:12 UTC Syncing #13336824 0x8704…6317     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11272487 LI:#13336830   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:18 UTC Syncing #13336825 0x5d87…a838     0.20 blk/s   55.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11272488 LI:#13336831   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:27 UTC Syncing #13336827 0xe8d0…5a96     0.20 blk/s   31.0 tx/s    2.2 Mgas/s      0+    5 Qed Ancient:#11272490 LI:#13336832   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:34 UTC Syncing #13336829 0x2ac5…3e8c     0.41 blk/s   98.7 tx/s    6.8 Mgas/s      0+    4 Qed Ancient:#11272493 LI:#13336833   30/50 peers      6 MiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:03:39 UTC Syncing #13336829 0x2ac5…3e8c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11272493 LI:#13336833   30/50 peers      6 MiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:04:26 UTC  Ancient:#11274170 AB:#11275854   28/50 peers     36 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:04:26 UTC Imported #13336833 0x9791…72c4 (114 txs, 8.85 Mgas, 2208 ms, 59.75 KiB)
2021-10-02 01:05:05 UTC  Ancient:#11274304 AB:#11276298   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:05:05 UTC  Ancient:#11274274 AB:#11276298   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:05:05 UTC  Ancient:#11274304 AB:#11276298   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:05:05 UTC  Ancient:#11274304 AB:#11276298   20/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:05:40 UTC  Ancient:#11274307 AB:#11277059   22/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
