2021-10-02 01:17:22 UTC Syncing #13336862 0x8fb9…dffe     0.20 blk/s   79.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   25/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:38 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   25/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:38 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   25/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:38 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   25/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:42 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   22/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:58 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   21/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:58 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   20/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:17:58 UTC Syncing #13336862 0x8fb9…dffe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277800 LI:#13336882   20/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:06 UTC Syncing #13336863 0x3d3a…6757     0.20 blk/s   56.2 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11277802 LI:#13336882   20/25 peers    216 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:07 UTC Syncing #13336863 0x3d3a…6757     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11277802 LI:#13336882   20/25 peers    216 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:12 UTC Syncing #13336863 0x3d3a…6757     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11277802 LI:#13336882   20/25 peers    216 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:17 UTC Syncing #13336863 0x3d3a…6757     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11277802 LI:#13336882   21/25 peers    216 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:22 UTC Syncing #13336863 0x3d3a…6757     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11277802 LI:#13336882   22/25 peers    216 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:27 UTC Syncing #13336863 0x3d3a…6757     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11277802 LI:#13336883   22/25 peers    216 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:36 UTC Syncing #13336864 0x2bea…310a     0.11 blk/s   20.1 tx/s    2.9 Mgas/s      0+   19 Qed Ancient:#11277803 LI:#13336883   22/25 peers    363 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:52 UTC Syncing #13336866 0x5b25…b4ee     0.25 blk/s   13.9 tx/s    1.0 Mgas/s      0+   17 Qed Ancient:#11277805 LI:#13336883   22/25 peers    364 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:18:52 UTC Syncing #13336866 0x5b25…b4ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11277972 LI:#13336883   22/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
