2021-10-02 01:22:25 UTC Syncing #13336877 0x6e1e…bde0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278116 LI:#13336902   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:25 UTC Syncing #13336877 0x6e1e…bde0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278116 LI:#13336902   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:36 UTC Syncing #13336878 0x59b8…5be1     0.63 blk/s  221.6 tx/s   19.1 Mgas/s      0+   24 Qed Ancient:#11278117 LI:#13336903   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:36 UTC Syncing #13336878 0x59b8…5be1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278117 LI:#13336903   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:42 UTC Syncing #13336878 0x59b8…5be1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278117 LI:#13336904   19/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:52 UTC Syncing #13336879 0x5bb1…bba1     0.20 blk/s   49.6 tx/s    3.5 Mgas/s      0+   24 Qed Ancient:#11278118 LI:#13336904   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:00 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278118 LI:#13336905   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:00 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278118 LI:#13336905   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:10 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11278118 LI:#13336908   18/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:10 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11278118 LI:#13336908   18/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:20 UTC Syncing #13336880 0x4dab…4f03     0.20 blk/s   82.8 tx/s    6.0 Mgas/s      0+   28 Qed Ancient:#11278120 LI:#13336909   18/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:20 UTC Syncing #13336882 0x0951…52bc     0.30 blk/s   72.9 tx/s    4.7 Mgas/s      0+   26 Qed Ancient:#11278122 LI:#13336909   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:28 UTC Syncing #13336882 0x0951…52bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11278122 LI:#13336909   17/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:28 UTC Syncing #13336882 0x0951…52bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11278122 LI:#13336909   17/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:37 UTC Syncing #13336883 0xa7e7…1c50     0.20 blk/s   82.8 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#11278124 LI:#13336910   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:37 UTC Syncing #13336883 0xa7e7…1c50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11278124 LI:#13336910   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:48 UTC Syncing #13336884 0x923f…7305     0.20 blk/s  120.8 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#11278125 LI:#13336910   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:48 UTC Syncing #13336886 0xf3d1…4c5f     0.30 blk/s   85.1 tx/s    5.2 Mgas/s      0+   23 Qed Ancient:#11278127 LI:#13336910   16/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:55 UTC Syncing #13336887 0xc6ab…9aba     0.20 blk/s    8.4 tx/s    0.7 Mgas/s      0+   22 Qed Ancient:#11278128 LI:#13336910   16/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:05 UTC Syncing #13336889 0xa548…e6b4     0.40 blk/s   53.8 tx/s    4.3 Mgas/s      0+   20 Qed Ancient:#11278130 LI:#13336910   16/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:05 UTC Syncing #13336891 0x5b0c…b8b1     0.40 blk/s   46.9 tx/s    3.9 Mgas/s      0+   18 Qed Ancient:#11278132 LI:#13336910   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:13 UTC Syncing #13336892 0xa016…cd62     0.10 blk/s   35.8 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#11278133 LI:#13336910   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:13 UTC Syncing #13336891 0x5b0c…b8b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278132 LI:#13336910   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:22 UTC Syncing #13336894 0xd90d…d80f     0.60 blk/s  101.8 tx/s    8.9 Mgas/s      0+   15 Qed Ancient:#11278135 LI:#13336911   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
