2021-09-22 01:09:56 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   27/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:01 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   27/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:07 UTC Syncing #13272530 0x0244…a104     0.20 blk/s  126.0 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:11 UTC Syncing #13272530 0x0244…a104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:16 UTC Syncing #13272530 0x0244…a104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:29 UTC Syncing #13272531 0xbda2…e589     0.10 blk/s   28.2 tx/s    2.2 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:29 UTC Syncing #13272531 0xbda2…e589     0.20 blk/s   56.4 tx/s    4.4 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:31 UTC Syncing #13272531 0xbda2…e589     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:41 UTC Syncing #13272533 0xafeb…16fd     0.20 blk/s   46.4 tx/s    2.3 Mgas/s      0+   19 Qed Ancient:#5617005 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:41 UTC Syncing #13272532 0xbf8e…9b54     0.20 blk/s   76.0 tx/s    3.9 Mgas/s      0+   20 Qed Ancient:#5617004 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:48 UTC Syncing #13272534 0xca78…c843     0.40 blk/s   27.6 tx/s    1.3 Mgas/s      0+   18 Qed Ancient:#5617007 LI:#13272551   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:54 UTC Syncing #13272534 0xca78…c843     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617007 LI:#13272551   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:56 UTC Syncing #13272534 0xca78…c843     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617007 LI:#13272551   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:01 UTC Syncing #13272534 0xca78…c843     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617007 LI:#13272551   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:08 UTC Syncing #13272535 0x4602…7d1d     0.20 blk/s   48.2 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#5617009 LI:#13272551   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:13 UTC Syncing #13272536 0x604b…dbb5     0.20 blk/s   28.2 tx/s    1.4 Mgas/s      0+   18 Qed Ancient:#5617010 LI:#13272553   26/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:16 UTC Syncing #13272536 0x604b…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617010 LI:#13272553   26/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:21 UTC Syncing #13272536 0x604b…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617010 LI:#13272553   25/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:26 UTC Syncing #13272536 0x604b…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5617010 LI:#13272554   26/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:32 UTC Syncing #13272537 0x826d…46af     0.20 blk/s   53.2 tx/s    3.3 Mgas/s      0+   18 Qed Ancient:#5617011 LI:#13272554   26/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:36 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617011 LI:#13272554   26/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:41 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5617011 LI:#13272555   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:46 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617011 LI:#13272557   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:51 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617011 LI:#13272557   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:11:56 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617011 LI:#13272557   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:01 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617011 LI:#13272557   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:06 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617011 LI:#13272557   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:11 UTC Syncing #13272537 0x826d…46af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617011 LI:#13272558   28/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:16 UTC Syncing #13272539 0x1429…5a8a     0.40 blk/s   89.0 tx/s    5.1 Mgas/s      0+   20 Qed Ancient:#5617013 LI:#13272558   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:21 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:26 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:31 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:36 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:41 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:46 UTC Syncing #13272539 0x1429…5a8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617013 LI:#13272559   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:51 UTC Syncing #13272540 0x6fd4…8bb4     0.20 blk/s  109.6 tx/s    5.9 Mgas/s      0+   20 Qed Ancient:#5617014 LI:#13272559   28/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:12:59 UTC Syncing #13272542 0x2df3…c25c     0.40 blk/s  102.6 tx/s    7.7 Mgas/s      0+   18 Qed Ancient:#5617016 LI:#13272559   28/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:04 UTC Syncing #13272542 0x2df3…c25c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5617016 LI:#13272559   28/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:08 UTC Syncing #13272544 0x4e4b…cae5     0.40 blk/s   58.6 tx/s    4.7 Mgas/s      0+   16 Qed Ancient:#5617018 LI:#13272559   28/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:13 UTC Syncing #13272545 0xdc9f…e00e     0.20 blk/s   26.0 tx/s    1.9 Mgas/s      0+   15 Qed Ancient:#5617019 LI:#13272560   28/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:18 UTC Syncing #13272546 0xb3c8…9b4a     0.20 blk/s   63.2 tx/s    5.0 Mgas/s      0+   15 Qed Ancient:#5617020 LI:#13272560   28/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:23 UTC Syncing #13272547 0x2872…2fcb     0.40 blk/s   67.6 tx/s    5.5 Mgas/s      0+   13 Qed Ancient:#5617022 LI:#13272560   28/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:27 UTC Syncing #13272549 0x4656…fe4e     0.60 blk/s   50.2 tx/s    3.7 Mgas/s      0+   10 Qed Ancient:#5617025 LI:#13272560   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:31 UTC Syncing #13272549 0x4656…fe4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5617025 LI:#13272560   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:31 UTC Reorg to #13272550 0x90d3…27e9 (0x4656…fe4e #13272548 0xceb1…1753 0x7eeb…f746)
2021-09-22 01:13:36 UTC Syncing #13272551 0xffdc…4293     0.40 blk/s   87.7 tx/s    6.8 Mgas/s      0+    8 Qed Ancient:#5617027 LI:#13272560   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:41 UTC Syncing #13272551 0xffdc…4293     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5617027 LI:#13272561   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:47 UTC Syncing #13272552 0x3704…bc22     0.20 blk/s   88.4 tx/s    5.9 Mgas/s      0+    8 Qed Ancient:#5617028 LI:#13272561   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:53 UTC Syncing #13272553 0xd629…0173     0.20 blk/s   83.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5617029 LI:#13272561   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:13:59 UTC Syncing #13272554 0xc73b…3f37     0.20 blk/s   54.8 tx/s    5.7 Mgas/s      0+    7 Qed Ancient:#5617030 LI:#13272562   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:04 UTC Syncing #13272556 0xffb2…ae10     0.40 blk/s   31.6 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5617032 LI:#13272562   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:16 UTC Syncing #13272559 0x8656…28b2     0.20 blk/s   26.3 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#5617035 LI:#13272564   28/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:36 UTC Imported #13272564 0x9175…0924 (23 txs, 3.28 Mgas, 1701 ms, 14.21 KiB)
2021-09-22 01:14:49 UTC Imported #13272565 0x3bfc…471a (178 txs, 17.65 Mgas, 5982 ms, 90.43 KiB)
2021-09-22 01:14:49 UTC  Ancient:#5618098 AB:#5620319   26/50 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:26 UTC Imported #13272569 0x0fe0…2780 (19 txs, 1.34 Mgas, 411 ms, 5.31 KiB)
2021-09-22 01:15:26 UTC  Ancient:#5620072 AB:#5620671   18/25 peers    612 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:26 UTC  Ancient:#5620059 AB:#5620671   18/25 peers    396 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:45 UTC Imported #13272572 0x4d6c…93e8 (91 txs, 8.88 Mgas, 3021 ms, 44.06 KiB)
