2021-09-22 01:05:01 UTC Syncing #13272515 0x573d…1b71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5616983 LI:#13272529   26/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:06 UTC Syncing #13272515 0x573d…1b71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5616983 LI:#13272529   25/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:14 UTC Syncing #13272516 0xbd9c…a61d     0.20 blk/s   79.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5616984 LI:#13272529   25/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:16 UTC Syncing #13272516 0xbd9c…a61d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5616984 LI:#13272529   25/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:21 UTC Syncing #13272516 0xbd9c…a61d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5616984 LI:#13272530   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:26 UTC Syncing #13272516 0xbd9c…a61d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5616984 LI:#13272531   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:31 UTC Syncing #13272516 0xbd9c…a61d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5616984 LI:#13272531   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:36 UTC Syncing #13272517 0x1170…b4e7     0.20 blk/s   39.0 tx/s    4.2 Mgas/s      0+   14 Qed Ancient:#5616985 LI:#13272531   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:41 UTC Syncing #13272517 0x1170…b4e7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5616985 LI:#13272531   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:46 UTC Syncing #13272517 0x1170…b4e7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5616985 LI:#13272531   26/50 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:05:53 UTC Syncing #13272519 0x5f51…a4fa     0.40 blk/s   81.0 tx/s    5.9 Mgas/s      0+   13 Qed Ancient:#5616988 LI:#13272532   26/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
