2021-09-22 01:13:59 UTC Syncing #13272554 0xc73b…3f37     0.20 blk/s   54.8 tx/s    5.7 Mgas/s      0+    7 Qed Ancient:#5617030 LI:#13272562   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:04 UTC Syncing #13272556 0xffb2…ae10     0.40 blk/s   31.6 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5617032 LI:#13272562   28/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:16 UTC Syncing #13272559 0x8656…28b2     0.20 blk/s   26.3 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#5617035 LI:#13272564   28/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:14:36 UTC Imported #13272564 0x9175…0924 (23 txs, 3.28 Mgas, 1701 ms, 14.21 KiB)
2021-09-22 01:14:49 UTC Imported #13272565 0x3bfc…471a (178 txs, 17.65 Mgas, 5982 ms, 90.43 KiB)
2021-09-22 01:14:49 UTC  Ancient:#5618098 AB:#5620319   26/50 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:26 UTC Imported #13272569 0x0fe0…2780 (19 txs, 1.34 Mgas, 411 ms, 5.31 KiB)
2021-09-22 01:15:26 UTC  Ancient:#5620072 AB:#5620671   18/25 peers    612 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:26 UTC  Ancient:#5620059 AB:#5620671   18/25 peers    396 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:45 UTC Imported #13272572 0x4d6c…93e8 (91 txs, 8.88 Mgas, 3021 ms, 44.06 KiB)
2021-09-22 01:15:59 UTC  Ancient:#5621427 AB:#5621905   17/25 peers    144 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:59 UTC  Ancient:#5621421 AB:#5621905   17/25 peers   432 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:15:59 UTC  Ancient:#5621427 AB:#5621905   17/25 peers    144 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:16:31 UTC  Ancient:#5621436 AB:#5623665   19/25 peers    772 KiB chain  343 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:17:59 UTC  Ancient:#5621437 AB:#5625316   21/25 peers    772 KiB chain  905 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:18:04 UTC Syncing #13272575 0x5d17…a724     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5621750 LI:#13272582   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
