2021-05-09 11:17:39 UTC Syncing #12399695 0xfd62…01a6     0.06 blk/s   21.5 tx/s    0.9 Mgas/s      0+  172 Qed Ancient:#12127151 LI:#12399862   33/50 peers     38 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:39 UTC Syncing #12399695 0xfd62…01a6     0.06 blk/s   21.6 tx/s    0.9 Mgas/s      0+  173 Qed Ancient:#12127151 LI:#12399862   33/50 peers      9 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:39 UTC Syncing #12399695 0xfd62…01a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12127151 LI:#12399862   33/50 peers     38 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:41 UTC Syncing #12399695 0xfd62…01a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12127151 LI:#12399862   30/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:50 UTC Syncing #12399696 0x775f…1e41     0.12 blk/s   26.2 tx/s    1.8 Mgas/s      0+  173 Qed Ancient:#12127366 LI:#12399863   30/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:52 UTC Syncing #12399696 0x775f…1e41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12127366 LI:#12399863   30/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:56 UTC Syncing #12399697 0xd74f…04a3     0.20 blk/s   44.6 tx/s    3.0 Mgas/s      0+  172 Qed Ancient:#12127425 LI:#12399864   29/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:42 UTC Syncing #12399698 0xa3f6…6ab2     0.02 blk/s    4.1 tx/s    0.3 Mgas/s      0+  173 Qed Ancient:#12130489 LI:#12399865   30/50 peers     71 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:47 UTC Syncing #12399698 0xa3f6…6ab2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12130489 LI:#12399865   30/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:56 UTC Syncing #12399700 0x57d3…2633     0.21 blk/s   44.6 tx/s    3.1 Mgas/s      0+  174 Qed Ancient:#12130590 LI:#12399868   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:01 UTC Syncing #12399700 0x57d3…2633     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  173 Qed Ancient:#12130590 LI:#12399868   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:17 UTC Syncing #12399702 0x6506…7385     0.13 blk/s   31.6 tx/s    1.9 Mgas/s      0+  173 Qed Ancient:#12131217 LI:#12399869   30/50 peers     18 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:17 UTC Syncing #12399702 0x6506…7385     0.13 blk/s   31.6 tx/s    1.9 Mgas/s      0+  172 Qed Ancient:#12131217 LI:#12399869   30/50 peers      2 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:25 UTC Syncing #12399703 0x7e79…266e     0.13 blk/s   36.3 tx/s    2.0 Mgas/s      0+  173 Qed Ancient:#12131289 LI:#12399870   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:26 UTC Syncing #12399703 0x7e79…266e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12131386 LI:#12399870   31/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
