2021-05-09 11:17:52 UTC Syncing #12399696 0x775f…1e41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12127366 LI:#12399863   30/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:56 UTC Syncing #12399697 0xd74f…04a3     0.20 blk/s   44.6 tx/s    3.0 Mgas/s      0+  172 Qed Ancient:#12127425 LI:#12399864   29/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:42 UTC Syncing #12399698 0xa3f6…6ab2     0.02 blk/s    4.1 tx/s    0.3 Mgas/s      0+  173 Qed Ancient:#12130489 LI:#12399865   30/50 peers     71 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:47 UTC Syncing #12399698 0xa3f6…6ab2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12130489 LI:#12399865   30/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:18:56 UTC Syncing #12399700 0x57d3…2633     0.21 blk/s   44.6 tx/s    3.1 Mgas/s      0+  174 Qed Ancient:#12130590 LI:#12399868   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:01 UTC Syncing #12399700 0x57d3…2633     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  173 Qed Ancient:#12130590 LI:#12399868   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:17 UTC Syncing #12399702 0x6506…7385     0.13 blk/s   31.6 tx/s    1.9 Mgas/s      0+  173 Qed Ancient:#12131217 LI:#12399869   30/50 peers     18 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:17 UTC Syncing #12399702 0x6506…7385     0.13 blk/s   31.6 tx/s    1.9 Mgas/s      0+  172 Qed Ancient:#12131217 LI:#12399869   30/50 peers      2 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:25 UTC Syncing #12399703 0x7e79…266e     0.13 blk/s   36.3 tx/s    2.0 Mgas/s      0+  173 Qed Ancient:#12131289 LI:#12399870   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:26 UTC Syncing #12399703 0x7e79…266e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12131386 LI:#12399870   31/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:31 UTC Syncing #12399703 0x7e79…266e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12131386 LI:#12399870   32/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:36 UTC Syncing #12399704 0xd9df…14aa     0.20 blk/s   48.6 tx/s    3.0 Mgas/s      0+  171 Qed Ancient:#12131386 LI:#12399870   32/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:51 UTC Syncing #12399705 0xf3ac…e84b     0.07 blk/s   15.9 tx/s    1.0 Mgas/s      0+  172 Qed Ancient:#12131466 LI:#12399871   33/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:55 UTC Syncing #12399705 0xf3ac…e84b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12131841 LI:#12399871   33/50 peers     18 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:19:55 UTC Syncing #12399705 0xf3ac…e84b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  171 Qed Ancient:#12131841 LI:#12399871   33/50 peers      7 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:20:09 UTC Syncing #12399706 0xad9c…08bd     0.07 blk/s   20.6 tx/s    1.0 Mgas/s      0+  173 Qed Ancient:#12132097 LI:#12399873   33/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:20:20 UTC Syncing #12399706 0xad9c…08bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12132887 LI:#12399873   34/50 peers      3 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:20:20 UTC Syncing #12399706 0xad9c…08bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  173 Qed Ancient:#12132887 LI:#12399873   34/50 peers    0 bytes chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:20:27 UTC Syncing #12399707 0x5094…f27e     0.15 blk/s   46.1 tx/s    2.3 Mgas/s      0+  171 Qed Ancient:#12132907 LI:#12399873   34/50 peers    637 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:20:34 UTC Syncing #12399708 0x6d42…b4fd     0.14 blk/s   48.0 tx/s    2.1 Mgas/s      0+  171 Qed Ancient:#12133053 LI:#12399873   34/50 peers      5 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:21:20 UTC Syncing #12399709 0xfb11…6c94     0.02 blk/s    5.1 tx/s    0.3 Mgas/s      0+  172 Qed Ancient:#12134945 LI:#12399875   28/50 peers     18 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
