2021-09-22 02:22:43 UTC  Ancient:#5650096 AB:#5650096   13/25 peers    503 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:23:21 UTC  Ancient:#5650096 AB:#5650096    6/25 peers    503 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:23:35 UTC Imported #13272861 0x9d94…8f74 (354 txs, 23.72 Mgas, 8380 ms, 129.58 KiB)
2021-09-22 02:24:06 UTC  Ancient:#5650096 AB:#5650096    5/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:24:30 UTC Syncing #13272861 0x9d94…8f74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5650096 LI:#13272861    4/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:24:59 UTC  Ancient:#5650096 AB:#5650096    2/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:25:58 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:26:47 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:26:47 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:27:19 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:27:57 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:28:33 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:28:33 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:29:23 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:29:54 UTC  Ancient:#5650096 AB:#5650096    1/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:30:24 UTC  Ancient:#5650096 AB:#5650096    0/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:30:54 UTC  Ancient:#5650096 AB:#5650096    0/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:31:29 UTC  Ancient:#5650096 AB:#5650096    0/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:31:59 UTC  Ancient:#5650096 AB:#5650096    0/25 peers    714 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:32:20 UTC Syncing #13272861 0x9d94…8f74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#5650096 LI:#13272901    3/25 peers    714 KiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
